"P","U","V","W","vtkValidPointMask"," s ","Points:0","Points:1","Points:2"
0,0,0,0,0,0,22.293,8.5342,14.064
0,0,0,0,0,0.042215,22.271,8.5153,14.033
0,0,0,0,0,0.084149,22.25,8.4963,14.003
0,0,0,0,0,0.12583,22.228,8.4772,13.973
0,0,0,0,0,0.16727,22.206,8.4581,13.943
0,0,0,0,0,0.20847,22.184,8.4388,13.914
0,0,0,0,0,0.24945,22.161,8.4195,13.886
0,0,0,0,0,0.29022,22.139,8.4,13.858
0,0,0,0,0,0.33077,22.116,8.3805,13.831
0,0,0,0,0,0.37114,22.093,8.3609,13.804
0,0,0,0,0,0.41134,22.07,8.3412,13.778
0,0,0,0,0,0.45136,22.047,8.3214,13.752
0,0,0,0,0,0.49121,22.023,8.3016,13.727
0,0,0,0,0,0.53092,22,8.2816,13.702
0,0,0,0,0,0.57049,21.976,8.2615,13.677
0,0,0,0,0,0.60992,21.952,8.2414,13.653
0,0,0,0,0,0.64922,21.928,8.2212,13.63
0,0,0,0,0,0.68841,21.904,8.2009,13.607
0,0,0,0,0,0.72749,21.879,8.1804,13.584
0,0,0,0,0,0.76647,21.855,8.1599,13.562
0,0,0,0,0,0.80536,21.83,8.1393,13.54
0,0,0,0,0,0.84416,21.805,8.1187,13.518
0,0,0,0,0,0.88288,21.78,8.0979,13.497
0,0,0,0,0,0.92152,21.755,8.077,13.476
0,0,0,0,0,0.9601,21.73,8.0561,13.456
0,0,0,0,0,0.99862,21.705,8.035,13.436
0,0,0,0,0,1.0371,21.679,8.0139,13.416
0,0,0,0,0,1.0755,21.654,7.9927,13.397
155.34,-8.9055e-06,0.013258,0.001015,1,1.1139,21.628,7.9714,13.378
155.34,-2.702e-05,0.013251,0.0016553,1,1.1522,21.603,7.95,13.359
155.34,-3.8817e-05,0.013246,0.0023048,1,1.1905,21.577,7.9285,13.34
155.34,-5.4943e-05,0.013222,0.0028334,1,1.2288,21.551,7.9069,13.322
155.34,-6.6033e-05,0.013197,0.0033444,1,1.267,21.525,7.8852,13.304
155.34,-7.4807e-05,0.013172,0.0037838,1,1.3052,21.499,7.8635,13.287
155.34,-7.9836e-05,0.013148,0.0041582,1,1.3434,21.473,7.8416,13.269
155.34,-7.9927e-05,0.013121,0.0045064,1,1.3816,21.447,7.8197,13.252
155.34,-7.5973e-05,0.013084,0.0047556,1,1.4198,21.421,7.7977,13.235
155.34,-6.7051e-05,0.013049,0.005012,1,1.458,21.394,7.7755,13.219
155.34,-5.3379e-05,0.01301,0.0051571,1,1.4961,21.368,7.7533,13.202
155.34,-3.5631e-05,0.012973,0.0053059,1,1.5343,21.341,7.731,13.186
155.34,-1.3133e-05,0.012932,0.0053906,1,1.5725,21.315,7.7086,13.17
155.34,1.293e-05,0.012891,0.005453,1,1.6106,21.288,7.6861,13.155
155.34,4.2835e-05,0.012849,0.0054847,1,1.6488,21.262,7.6636,13.139
155.34,7.5843e-05,0.012807,0.0054853,1,1.687,21.235,7.6409,13.124
155.34,0.00011175,0.012765,0.0054729,1,1.7252,21.209,7.6181,13.108
155.34,0.00015067,0.012722,0.0054299,1,1.7634,21.182,7.5953,13.093
155.34,0.00019103,0.012681,0.0053862,1,1.8016,21.155,7.5723,13.078
155.34,0.00023466,0.012638,0.0053172,1,1.8398,21.129,7.5493,13.064
155.34,0.00027876,0.012597,0.0052496,1,1.8781,21.102,7.5262,13.049
155.34,0.00032595,0.012555,0.0051705,1,1.9163,21.075,7.503,13.035
155.34,0.00037303,0.012515,0.0050912,1,1.9546,21.049,7.4797,13.02
155.34,0.00042383,0.012474,0.0050085,1,1.9935,21.022,7.4558,13.005
155.34,0.00047363,0.012435,0.0049272,1,2.0318,20.995,7.4322,12.991
155.34,0.00052588,0.012398,0.0048518,1,2.0702,20.969,7.4087,12.976
155.34,0.00057861,0.012361,0.0047776,1,2.1087,20.942,7.3851,12.962
155.34,0.0006324,0.012327,0.0047111,1,2.1468,20.915,7.3616,12.947
155.34,0.00068791,0.012292,0.0046487,1,2.1857,20.889,7.3376,12.933
155.34,0.00074409,0.01226,0.0045932,1,2.2243,20.862,7.3137,12.918
155.34,0.00080169,0.012228,0.0045449,1,2.2631,20.835,7.2896,12.904
155.34,0.00085947,0.012197,0.004503,1,2.3017,20.809,7.2655,12.889
155.34,0.000919,0.012168,0.0044705,1,2.3406,20.782,7.2411,12.875
155.34,0.00097906,0.01214,0.0044424,1,2.3796,20.756,7.2165,12.86
155.34,0.0010403,0.012113,0.0044249,1,2.4184,20.729,7.1919,12.846
155.34,0.0011015,0.012088,0.0044125,1,2.457,20.703,7.1673,12.831
155.34,0.0011645,0.012064,0.0044101,1,2.4957,20.677,7.1426,12.817
155.34,0.001228,0.012042,0.004412,1,2.5346,20.651,7.1176,12.803
155.34,0.001292,0.012022,0.0044235,1,2.5729,20.625,7.0929,12.789
155.34,0.0013575,0.012003,0.0044394,1,2.612,20.599,7.0676,12.774
155.34,0.0014238,0.011986,0.0044634,1,2.6506,20.574,7.0425,12.76
155.34,0.0014912,0.011971,0.0044917,1,2.6896,20.548,7.0171,12.745
155.34,0.0015598,0.011958,0.0045279,1,2.7286,20.523,6.9917,12.73
155.34,0.0016291,0.011948,0.0045677,1,2.7677,20.497,6.9661,12.715
155.34,0.0016995,0.011939,0.0046136,1,2.8068,20.471,6.9404,12.701
155.34,0.0017702,0.011931,0.0046634,1,2.8459,20.446,6.9146,12.686
155.34,0.0018431,0.011927,0.0047189,1,2.8854,20.421,6.8884,12.671
155.34,0.0019164,0.011924,0.004778,1,2.9249,20.395,6.8621,12.655
155.34,0.0019907,0.011924,0.0048411,1,2.9644,20.37,6.8358,12.64
155.34,0.0020648,0.011926,0.0049081,1,3.0037,20.346,6.8095,12.625
155.34,0.0021409,0.011931,0.004978,1,3.0432,20.321,6.783,12.609
155.34,0.0022172,0.011938,0.0050524,1,3.0828,20.296,6.7565,12.593
155.34,0.0022934,0.011947,0.005128,1,3.1218,20.271,6.7302,12.578
