"P","U","V","W","vtkValidPointMask"," s ","Points:0","Points:1","Points:2"
-22.665,-7.4042e-05,-0.016412,-0.0076206,1,3.1218,20.271,6.7302,12.578
-22.665,-0.00010082,-0.016589,-0.0077542,1,3.1612,20.247,6.7038,12.562
-22.664,-0.00013187,-0.016769,-0.0078914,1,3.2006,20.223,6.6772,12.546
-22.664,-0.0001666,-0.016949,-0.0080347,1,3.2398,20.198,6.6508,12.53
-22.663,-0.00020498,-0.017131,-0.0081794,1,3.2787,20.175,6.6245,12.514
-22.663,-0.00024736,-0.017313,-0.00833,1,3.3176,20.151,6.5982,12.498
-22.663,-0.0002938,-0.017499,-0.0084844,1,3.3564,20.127,6.5719,12.482
-22.662,-0.00034592,-0.017688,-0.0086446,1,3.3958,20.104,6.5454,12.465
-22.662,-0.0004033,-0.01788,-0.0088068,1,3.4349,20.08,6.5189,12.448
-22.661,-0.00046447,-0.018072,-0.0089732,1,3.4737,20.057,6.4925,12.432
-22.661,-0.00053297,-0.018269,-0.0091437,1,3.5131,20.034,6.4659,12.414
-22.661,-0.0006058,-0.018469,-0.0093185,1,3.5525,20.011,6.4394,12.397
-22.66,-0.00068486,-0.018674,-0.0094999,1,3.5925,19.987,6.4127,12.378
-22.66,-0.00077002,-0.018881,-0.0096832,1,3.6325,19.964,6.3861,12.36
-22.659,-0.0008593,-0.019088,-0.0098686,1,3.672,19.941,6.3599,12.341
-22.659,-0.00095571,-0.019302,-0.01006,1,3.7121,19.917,6.3334,12.322
-22.658,-0.0010567,-0.019514,-0.01025,1,3.7516,19.895,6.3074,12.303
-22.658,-0.0011633,-0.019729,-0.010444,1,3.791,19.872,6.2816,12.284
-22.657,-0.0012751,-0.019945,-0.01064,1,3.8305,19.85,6.2558,12.264
-22.657,-0.0013946,-0.020167,-0.01084,1,3.8702,19.827,6.2301,12.244
-22.656,-0.0015189,-0.020391,-0.011043,1,3.91,19.805,6.2045,12.223
-22.656,-0.001652,-0.02062,-0.011248,1,3.9501,19.782,6.179,12.202
-22.655,-0.0017902,-0.020851,-0.011456,1,3.9903,19.76,6.1536,12.181
-22.655,-0.0019346,-0.021085,-0.011664,1,4.0303,19.737,6.1286,12.159
-22.654,-0.0020848,-0.021321,-0.011875,1,4.0704,19.715,6.1037,12.136
-22.654,-0.002239,-0.021559,-0.012089,1,4.1104,19.693,6.0788,12.114
-22.653,-0.0023986,-0.021796,-0.012306,1,4.1503,19.671,6.0539,12.092
-22.653,-0.002563,-0.022039,-0.01253,1,4.1907,19.649,6.0288,12.07
-22.652,-0.0027323,-0.022278,-0.012751,1,4.2305,19.627,6.0041,12.047
-22.652,-0.002904,-0.022522,-0.012979,1,4.2705,19.605,5.9794,12.025
-22.651,-0.0030822,-0.022765,-0.01321,1,4.3108,19.583,5.9548,12.002
-22.651,-0.0032616,-0.023009,-0.013441,1,4.3506,19.561,5.9306,11.979
-22.65,-0.0034447,-0.02325,-0.013675,1,4.3903,19.539,5.9066,11.956
-22.649,-0.0036301,-0.023492,-0.013913,1,4.4299,19.517,5.8826,11.934
-22.649,-0.0038158,-0.023728,-0.014149,1,4.4687,19.496,5.8591,11.911
-22.648,-0.0040068,-0.023966,-0.01439,1,4.508,19.474,5.8354,11.889
-22.648,-0.0041966,-0.0242,-0.014629,1,4.5465,19.453,5.8124,11.866
-22.647,-0.0043914,-0.024434,-0.014874,1,4.5853,19.431,5.7891,11.844
-22.646,-0.004586,-0.024665,-0.015121,1,4.6239,19.41,5.766,11.821
-22.646,-0.0047836,-0.024892,-0.01537,1,4.6622,19.389,5.743,11.799
-22.645,-0.0049801,-0.025117,-0.015622,1,4.7004,19.368,5.72,11.777
-22.645,-0.0051791,-0.025336,-0.015877,1,4.7385,19.347,5.6971,11.755
-22.644,-0.0053783,-0.025552,-0.016133,1,4.7762,19.326,5.6743,11.734
-22.643,-0.0055779,-0.025762,-0.016389,1,4.8137,19.305,5.6516,11.712
-22.643,-0.0057812,-0.025971,-0.016651,1,4.8514,19.284,5.6287,11.69
-22.642,-0.0059849,-0.026174,-0.016914,1,4.8892,19.264,5.6059,11.669
-22.641,-0.0061911,-0.026373,-0.017181,1,4.9268,19.243,5.583,11.647
-22.641,-0.006398,-0.026567,-0.017446,1,4.9645,19.222,5.5602,11.625
-22.64,-0.0066073,-0.026756,-0.017715,1,5.0021,19.202,5.5374,11.603
-22.639,-0.0068165,-0.026939,-0.017982,1,5.0395,19.182,5.5148,11.582
-22.639,-0.0070307,-0.027117,-0.018255,1,5.0775,19.161,5.4918,11.559
-22.638,-0.0072453,-0.02729,-0.018527,1,5.1154,19.141,5.4689,11.537
-22.637,-0.0074606,-0.027453,-0.018797,1,5.1532,19.121,5.4459,11.515
-22.637,-0.0076779,-0.027611,-0.019071,1,5.1913,19.1,5.4229,11.492
-22.636,-0.0078958,-0.02776,-0.01934,1,5.2295,19.08,5.3999,11.47
-22.635,-0.0081127,-0.027899,-0.019608,1,5.2672,19.06,5.3771,11.447
-22.634,-0.0083282,-0.028028,-0.019866,1,5.3049,19.04,5.3544,11.425
-22.634,-0.0085455,-0.028146,-0.020129,1,5.3427,19.02,5.3317,11.402
-22.633,-0.0087622,-0.028257,-0.020382,1,5.3806,19,5.309,11.379
-22.632,-0.0089766,-0.028353,-0.020631,1,5.4182,18.98,5.2866,11.356
-22.631,-0.0091894,-0.02844,-0.020872,1,5.4558,18.96,5.2643,11.334
-22.631,-0.0093996,-0.028512,-0.021104,1,5.4931,18.94,5.2423,11.311
-22.63,-0.0096078,-0.028572,-0.02133,1,5.5304,18.921,5.2203,11.288
-22.629,-0.0098155,-0.028619,-0.021543,1,5.568,18.901,5.1982,11.265
-22.628,-0.01002,-0.028649,-0.021753,1,5.6056,18.881,5.1761,11.242
-22.627,-0.010223,-0.028668,-0.021943,1,5.6433,18.861,5.1541,11.219
-22.627,-0.010422,-0.028667,-0.022127,1,5.681,18.841,5.1321,11.195
-22.626,-0.010619,-0.028654,-0.022292,1,5.7188,18.821,5.1102,11.172
-22.625,-0.01081,-0.02862,-0.022447,1,5.7564,18.802,5.0883,11.149
-22.624,-0.010998,-0.028573,-0.022581,1,5.7942,18.782,5.0664,11.125
-22.623,-0.011181,-0.028502,-0.022703,1,5.8323,18.761,5.0444,11.101
-22.622,-0.01136,-0.028418,-0.022805,1,5.8701,18.742,5.0227,11.078
-22.622,-0.011532,-0.028309,-0.022889,1,5.9083,18.722,5.0007,11.054
-22.621,-0.011701,-0.028185,-0.022951,1,5.9466,18.701,4.9787,11.03
-22.62,-0.011861,-0.028037,-0.022993,1,5.9849,18.681,4.9568,11.006
-22.619,-0.012016,-0.027876,-0.023012,1,6.023,18.661,4.935,10.982
-22.618,-0.012162,-0.02769,-0.023012,1,6.0612,18.642,4.9131,10.957
-22.617,-0.012298,-0.027492,-0.022989,1,6.0986,18.622,4.8918,10.933
-22.617,-0.012428,-0.027271,-0.022948,1,6.1364,18.603,4.8705,10.909
-22.616,-0.01255,-0.027034,-0.022883,1,6.1741,18.583,4.8492,10.885
-22.615,-0.012663,-0.026775,-0.022801,1,6.212,18.564,4.828,10.86
