"P","U","V","W","vtkValidPointMask"," s ","Points:0","Points:1","Points:2"
0,0,0,0,0,0,22.293,8.5342,14.064
0,0,0,0,0,0.042215,22.271,8.5153,14.033
0,0,0,0,0,0.084149,22.25,8.4963,14.003
0,0,0,0,0,0.12583,22.228,8.4772,13.973
0,0,0,0,0,0.16727,22.206,8.4581,13.943
0,0,0,0,0,0.20847,22.184,8.4388,13.914
0,0,0,0,0,0.24945,22.161,8.4195,13.886
0,0,0,0,0,0.29022,22.139,8.4,13.858
0,0,0,0,0,0.33077,22.116,8.3805,13.831
0,0,0,0,0,0.37114,22.093,8.3609,13.804
0,0,0,0,0,0.41134,22.07,8.3412,13.778
0,0,0,0,0,0.45136,22.047,8.3214,13.752
0,0,0,0,0,0.49121,22.023,8.3016,13.727
0,0,0,0,0,0.53092,22,8.2816,13.702
0,0,0,0,0,0.57049,21.976,8.2615,13.677
0,0,0,0,0,0.60992,21.952,8.2414,13.653
0,0,0,0,0,0.64922,21.928,8.2212,13.63
0,0,0,0,0,0.68841,21.904,8.2009,13.607
0,0,0,0,0,0.72749,21.879,8.1804,13.584
0,0,0,0,0,0.76647,21.855,8.1599,13.562
0,0,0,0,0,0.80536,21.83,8.1393,13.54
0,0,0,0,0,0.84416,21.805,8.1187,13.518
0,0,0,0,0,0.88288,21.78,8.0979,13.497
0,0,0,0,0,0.92152,21.755,8.077,13.476
0,0,0,0,0,0.9601,21.73,8.0561,13.456
0,0,0,0,0,0.99862,21.705,8.035,13.436
0,0,0,0,0,1.0371,21.679,8.0139,13.416
0,0,0,0,0,1.0755,21.654,7.9927,13.397
-18.416,-1.5273e-05,-0.007295,-0.00094225,1,1.1139,21.628,7.9714,13.378
-18.416,-3.7565e-05,-0.0074421,-0.001318,1,1.1522,21.603,7.95,13.359
-18.417,-6.3167e-05,-0.0075906,-0.0016985,1,1.1905,21.577,7.9285,13.34
-18.417,-9.2529e-05,-0.0075402,-0.001903,1,1.2288,21.551,7.9069,13.322
-18.417,-0.0001243,-0.007452,-0.0020742,1,1.267,21.525,7.8852,13.304
-18.417,-0.00015647,-0.0074268,-0.0021871,1,1.3052,21.499,7.8635,13.287
-18.418,-0.00018916,-0.0074585,-0.0022464,1,1.3434,21.473,7.8416,13.269
-18.418,-0.00022137,-0.0074775,-0.0022938,1,1.3816,21.447,7.8197,13.252
-18.418,-0.00025168,-0.0074531,-0.0023018,1,1.4198,21.421,7.7977,13.235
-18.418,-0.00028169,-0.0074302,-0.0023103,1,1.458,21.394,7.7755,13.219
-18.419,-0.00030802,-0.0074404,-0.0023012,1,1.4961,21.368,7.7533,13.202
-18.419,-0.00033365,-0.007453,-0.0022923,1,1.5343,21.341,7.731,13.186
-18.419,-0.00035634,-0.0074547,-0.0022828,1,1.5725,21.315,7.7086,13.17
-18.419,-0.00037742,-0.007453,-0.0022725,1,1.6106,21.288,7.6861,13.155
-18.42,-0.00039642,-0.0074582,-0.0022654,1,1.6488,21.262,7.6636,13.139
-18.42,-0.00041332,-0.0074702,-0.0022613,1,1.687,21.235,7.6409,13.124
-18.42,-0.00042885,-0.0074818,-0.0022584,1,1.7252,21.209,7.6181,13.108
-18.42,-0.00044231,-0.0074918,-0.0022607,1,1.7634,21.182,7.5953,13.093
-18.421,-0.00045468,-0.0075036,-0.0022643,1,1.8016,21.155,7.5723,13.078
-18.421,-0.00046538,-0.0075197,-0.0022729,1,1.8398,21.129,7.5493,13.064
-18.421,-0.0004751,-0.0075368,-0.0022821,1,1.8781,21.102,7.5262,13.049
-18.421,-0.00048368,-0.0075547,-0.0022967,1,1.9163,21.075,7.503,13.035
-18.421,-0.00049117,-0.0075736,-0.0023123,1,1.9546,21.049,7.4797,13.02
-18.422,-0.00049846,-0.007595,-0.0023314,1,1.9935,21.022,7.4558,13.005
-18.422,-0.00050456,-0.0076176,-0.0023524,1,2.0318,20.995,7.4322,12.991
-18.422,-0.00051044,-0.0076418,-0.0023768,1,2.0702,20.969,7.4087,12.976
-18.422,-0.00051571,-0.0076665,-0.0024026,1,2.1087,20.942,7.3851,12.962
-18.423,-0.00052076,-0.0076926,-0.0024311,1,2.1468,20.915,7.3616,12.947
-18.423,-0.0005256,-0.0077209,-0.0024629,1,2.1857,20.889,7.3376,12.933
-18.423,-0.00053032,-0.00775,-0.0024968,1,2.2243,20.862,7.3137,12.918
-18.423,-0.00053518,-0.0077801,-0.0025332,1,2.2631,20.835,7.2896,12.904
-18.424,-0.00053985,-0.0078115,-0.0025722,1,2.3017,20.809,7.2655,12.889
-18.424,-0.00054499,-0.0078447,-0.0026147,1,2.3406,20.782,7.2411,12.875
-18.424,-0.00055021,-0.0078781,-0.0026587,1,2.3796,20.756,7.2165,12.86
-18.424,-0.0005561,-0.0079128,-0.002706,1,2.4184,20.729,7.1919,12.846
-18.425,-0.00056195,-0.0079487,-0.0027555,1,2.457,20.703,7.1673,12.831
-18.425,-0.00056885,-0.0079854,-0.0028079,1,2.4957,20.677,7.1426,12.817
-18.425,-0.00057593,-0.0080229,-0.0028623,1,2.5346,20.651,7.1176,12.803
-18.426,-0.00058409,-0.0080611,-0.0029192,1,2.5729,20.625,7.0929,12.789
-18.426,-0.00059261,-0.0081013,-0.0029795,1,2.612,20.599,7.0676,12.774
-18.426,-0.00060266,-0.0081408,-0.0030408,1,2.6506,20.574,7.0425,12.76
-18.426,-0.00061314,-0.0081821,-0.0031051,1,2.6896,20.548,7.0171,12.745
-18.427,-0.00062512,-0.0082246,-0.0031719,1,2.7286,20.523,6.9917,12.73
-18.427,-0.00063779,-0.0082673,-0.0032404,1,2.7677,20.497,6.9661,12.715
-18.427,-0.00065212,-0.0083105,-0.0033107,1,2.8068,20.471,6.9404,12.701
-18.427,-0.0006672,-0.008355,-0.0033832,1,2.8459,20.446,6.9146,12.686
-18.428,-0.00068435,-0.0084007,-0.0034581,1,2.8854,20.421,6.8884,12.671
-18.428,-0.00070267,-0.0084461,-0.0035337,1,2.9249,20.395,6.8621,12.655
