"P","U","V","W","vtkValidPointMask"," s ","Points:0","Points:1","Points:2"
0,0,0,0,0,0,22.293,8.5342,14.064
0,0,0,0,0,0.042215,22.271,8.5153,14.033
0,0,0,0,0,0.084149,22.25,8.4963,14.003
0,0,0,0,0,0.12583,22.228,8.4772,13.973
0,0,0,0,0,0.16727,22.206,8.4581,13.943
0,0,0,0,0,0.20847,22.184,8.4388,13.914
0,0,0,0,0,0.24945,22.161,8.4195,13.886
0,0,0,0,0,0.29022,22.139,8.4,13.858
0,0,0,0,0,0.33077,22.116,8.3805,13.831
0,0,0,0,0,0.37114,22.093,8.3609,13.804
0,0,0,0,0,0.41134,22.07,8.3412,13.778
0,0,0,0,0,0.45136,22.047,8.3214,13.752
0,0,0,0,0,0.49121,22.023,8.3016,13.727
0,0,0,0,0,0.53092,22,8.2816,13.702
0,0,0,0,0,0.57049,21.976,8.2615,13.677
0,0,0,0,0,0.60992,21.952,8.2414,13.653
0,0,0,0,0,0.64922,21.928,8.2212,13.63
0,0,0,0,0,0.68841,21.904,8.2009,13.607
0,0,0,0,0,0.72749,21.879,8.1804,13.584
0,0,0,0,0,0.76647,21.855,8.1599,13.562
0,0,0,0,0,0.80536,21.83,8.1393,13.54
0,0,0,0,0,0.84416,21.805,8.1187,13.518
0,0,0,0,0,0.88288,21.78,8.0979,13.497
0,0,0,0,0,0.92152,21.755,8.077,13.476
0,0,0,0,0,0.9601,21.73,8.0561,13.456
0,0,0,0,0,0.99862,21.705,8.035,13.436
0,0,0,0,0,1.0371,21.679,8.0139,13.416
0,0,0,0,0,1.0755,21.654,7.9927,13.397
120.08,2.3491e-05,0.0097718,0.0003914,1,1.1139,21.628,7.9714,13.378
120.08,2.8596e-05,0.0097337,0.0007047,1,1.1522,21.603,7.95,13.359
120.08,3.5204e-05,0.0096957,0.0010201,1,1.1905,21.577,7.9285,13.34
120.08,3.6141e-05,0.0096965,0.0013202,1,1.2288,21.551,7.9069,13.322
120.08,3.8138e-05,0.0097053,0.0016192,1,1.267,21.525,7.8852,13.304
120.08,3.8988e-05,0.0097043,0.0019024,1,1.3052,21.499,7.8635,13.287
120.08,3.9973e-05,0.0096945,0.0021715,1,1.3434,21.473,7.8416,13.269
120.08,4.2576e-05,0.0096864,0.0024328,1,1.3816,21.447,7.8197,13.252
120.08,4.5327e-05,0.0096818,0.0026627,1,1.4198,21.421,7.7977,13.235
120.08,5.089e-05,0.0096783,0.0028966,1,1.458,21.394,7.7755,13.219
120.08,5.7293e-05,0.009667,0.0030836,1,1.4961,21.368,7.7533,13.202
120.08,6.6458e-05,0.0096567,0.0032737,1,1.5343,21.341,7.731,13.186
120.08,7.7607e-05,0.0096463,0.0034297,1,1.5725,21.315,7.7086,13.17
120.08,9.1239e-05,0.0096367,0.0035749,1,1.6106,21.288,7.6861,13.155
120.08,0.00010719,0.0096258,0.0036993,1,1.6488,21.262,7.6636,13.139
120.08,0.00012525,0.0096136,0.0038034,1,1.687,21.235,7.6409,13.124
120.08,0.00014576,0.0096018,0.0038966,1,1.7252,21.209,7.6181,13.108
120.08,0.00016825,0.0095892,0.0039629,1,1.7634,21.182,7.5953,13.093
120.08,0.00019258,0.0095777,0.0040284,1,1.8016,21.155,7.5723,13.078
120.08,0.00021901,0.0095644,0.0040633,1,1.8398,21.129,7.5493,13.064
120.08,0.00024685,0.0095526,0.0041007,1,1.8781,21.102,7.5262,13.049
120.08,0.00027658,0.0095396,0.004113,1,1.9163,21.075,7.503,13.035
120.08,0.00030717,0.009528,0.0041259,1,1.9546,21.049,7.4797,13.02
120.08,0.00034046,0.0095156,0.0041223,1,1.9935,21.022,7.4558,13.005
120.08,0.00037367,0.0095044,0.0041164,1,2.0318,20.995,7.4322,12.991
120.08,0.00040865,0.0094935,0.0041025,1,2.0702,20.969,7.4087,12.976
120.08,0.00044444,0.0094836,0.0040845,1,2.1087,20.942,7.3851,12.962
120.08,0.00048109,0.0094744,0.0040631,1,2.1468,20.915,7.3616,12.947
120.08,0.00051914,0.0094658,0.004039,1,2.1857,20.889,7.3376,12.933
120.08,0.00055787,0.0094582,0.004014,1,2.2243,20.862,7.3137,12.918
120.08,0.00059769,0.0094515,0.0039873,1,2.2631,20.835,7.2896,12.904
120.08,0.00063778,0.0094457,0.0039618,1,2.3017,20.809,7.2655,12.889
120.07,0.00067908,0.0094407,0.0039371,1,2.3406,20.782,7.2411,12.875
120.07,0.00072098,0.0094371,0.0039132,1,2.3796,20.756,7.2165,12.86
120.07,0.0007637,0.0094342,0.0038921,1,2.4184,20.729,7.1919,12.846
120.07,0.00080644,0.0094328,0.0038738,1,2.457,20.703,7.1673,12.831
120.07,0.00085048,0.0094324,0.0038591,1,2.4957,20.677,7.1426,12.817
120.07,0.00089498,0.0094338,0.003847,1,2.5346,20.651,7.1176,12.803
120.07,0.00093994,0.009436,0.0038402,1,2.5729,20.625,7.0929,12.789
120.07,0.00098597,0.0094399,0.0038365,1,2.612,20.599,7.0676,12.774
120.07,0.0010329,0.0094455,0.0038378,1,2.6506,20.574,7.0425,12.76
120.07,0.0010806,0.0094529,0.0038427,1,2.6896,20.548,7.0171,12.745
120.07,0.0011293,0.0094616,0.0038538,1,2.7286,20.523,6.9917,12.73
120.07,0.0011788,0.0094727,0.0038682,1,2.7677,20.497,6.9661,12.715
120.07,0.0012293,0.0094852,0.0038879,1,2.8068,20.471,6.9404,12.701
120.07,0.0012801,0.0094994,0.0039118,1,2.8459,20.446,6.9146,12.686
120.07,0.0013328,0.0095159,0.003941,1,2.8854,20.421,6.8884,12.671
120.07,0.0013862,0.0095349,0.0039742,1,2.9249,20.395,6.8621,12.655
120.07,0.0014406,0.0095555,0.004012,1,2.9644,20.37,6.8358,12.64
120.07,0.001495,0.0095777,0.0040547,1,3.0037,20.346,6.8095,12.625
120.07,0.0015514,0.0096033,0.0041005,1,3.0432,20.321,6.783,12.609
120.07,0.0016082,0.0096312,0.0041521,1,3.0828,20.296,6.7565,12.593
