"P","U","V","W","vtkValidPointMask"," s ","Points:0","Points:1","Points:2"
0,0,0,0,0,0,22.293,8.5342,14.064
0,0,0,0,0,0.042215,22.271,8.5153,14.033
0,0,0,0,0,0.084149,22.25,8.4963,14.003
0,0,0,0,0,0.12583,22.228,8.4772,13.973
0,0,0,0,0,0.16727,22.206,8.4581,13.943
0,0,0,0,0,0.20847,22.184,8.4388,13.914
0,0,0,0,0,0.24945,22.161,8.4195,13.886
0,0,0,0,0,0.29022,22.139,8.4,13.858
0,0,0,0,0,0.33077,22.116,8.3805,13.831
0,0,0,0,0,0.37114,22.093,8.3609,13.804
0,0,0,0,0,0.41134,22.07,8.3412,13.778
0,0,0,0,0,0.45136,22.047,8.3214,13.752
0,0,0,0,0,0.49121,22.023,8.3016,13.727
0,0,0,0,0,0.53092,22,8.2816,13.702
0,0,0,0,0,0.57049,21.976,8.2615,13.677
0,0,0,0,0,0.60992,21.952,8.2414,13.653
0,0,0,0,0,0.64922,21.928,8.2212,13.63
0,0,0,0,0,0.68841,21.904,8.2009,13.607
0,0,0,0,0,0.72749,21.879,8.1804,13.584
0,0,0,0,0,0.76647,21.855,8.1599,13.562
0,0,0,0,0,0.80536,21.83,8.1393,13.54
0,0,0,0,0,0.84416,21.805,8.1187,13.518
0,0,0,0,0,0.88288,21.78,8.0979,13.497
0,0,0,0,0,0.92152,21.755,8.077,13.476
0,0,0,0,0,0.9601,21.73,8.0561,13.456
0,0,0,0,0,0.99862,21.705,8.035,13.436
0,0,0,0,0,1.0371,21.679,8.0139,13.416
0,0,0,0,0,1.0755,21.654,7.9927,13.397
39.998,-2.0861e-05,-0.00090931,-0.00041967,1,1.1139,21.628,7.9714,13.378
39.998,-5.0615e-05,-0.0010327,-0.00049388,1,1.1522,21.603,7.95,13.359
39.997,-8.227e-05,-0.0011573,-0.00057054,1,1.1905,21.577,7.9285,13.34
39.997,-0.00011606,-0.001116,-0.00056017,1,1.2288,21.551,7.9069,13.322
39.997,-0.00015058,-0.001043,-0.00053265,1,1.267,21.525,7.8852,13.304
39.997,-0.00018294,-0.0010239,-0.00049313,1,1.3052,21.499,7.8635,13.287
39.997,-0.00021322,-0.0010533,-0.00044218,1,1.3434,21.473,7.8416,13.269
39.997,-0.00024156,-0.0010721,-0.00039245,1,1.3816,21.447,7.8197,13.252
39.997,-0.00026522,-0.0010561,-0.00034862,1,1.4198,21.421,7.7977,13.235
39.997,-0.00028806,-0.0010407,-0.00030402,1,1.458,21.394,7.7755,13.219
39.997,-0.00030526,-0.0010521,-0.00027277,1,1.4961,21.368,7.7533,13.202
39.997,-0.00032147,-0.0010649,-0.00024137,1,1.5343,21.341,7.731,13.186
39.996,-0.00033399,-0.0010689,-0.00021844,1,1.5725,21.315,7.7086,13.17
39.996,-0.00034451,-0.0010697,-0.00019799,1,1.6106,21.288,7.6861,13.155
39.996,-0.0003527,-0.0010758,-0.00018172,1,1.6488,21.262,7.6636,13.139
39.996,-0.00035859,-0.001087,-0.00016955,1,1.687,21.235,7.6409,13.124
39.996,-0.00036292,-0.0010974,-0.00015849,1,1.7252,21.209,7.6181,13.108
39.996,-0.00036498,-0.0011059,-0.00015172,1,1.7634,21.182,7.5953,13.093
39.996,-0.00036601,-0.0011153,-0.00014526,1,1.8016,21.155,7.5723,13.078
39.996,-0.00036496,-0.0011278,-0.00014256,1,1.8398,21.129,7.5493,13.064
39.995,-0.00036306,-0.0011406,-0.00013961,1,1.8781,21.102,7.5262,13.049
39.995,-0.00035958,-0.0011535,-0.00014025,1,1.9163,21.075,7.503,13.035
39.995,-0.00035523,-0.0011664,-0.00014092,1,1.9546,21.049,7.4797,13.02
39.995,-0.00034972,-0.0011809,-0.00014393,1,1.9935,21.022,7.4558,13.005
39.995,-0.00034347,-0.0011957,-0.00014769,1,2.0318,20.995,7.4322,12.991
39.995,-0.00033647,-0.0012111,-0.00015358,1,2.0702,20.969,7.4087,12.976
39.995,-0.00032873,-0.0012262,-0.00016024,1,2.1087,20.942,7.3851,12.962
39.995,-0.00032055,-0.0012418,-0.00016863,1,2.1468,20.915,7.3616,12.947
39.994,-0.0003117,-0.0012584,-0.00017864,1,2.1857,20.889,7.3376,12.933
39.994,-0.00030253,-0.0012749,-0.00019005,1,2.2243,20.862,7.3137,12.918
39.994,-0.000293,-0.0012914,-0.00020312,1,2.2631,20.835,7.2896,12.904
39.994,-0.00028325,-0.0013083,-0.00021758,1,2.3017,20.809,7.2655,12.889
39.994,-0.00027339,-0.0013259,-0.00023419,1,2.3406,20.782,7.2411,12.875
39.994,-0.0002633,-0.0013427,-0.00025184,1,2.3796,20.756,7.2165,12.86
39.994,-0.00025341,-0.00136,-0.00027159,1,2.4184,20.729,7.1919,12.846
39.993,-0.00024348,-0.0013775,-0.00029239,1,2.457,20.703,7.1673,12.831
39.993,-0.00023384,-0.0013947,-0.00031519,1,2.4957,20.677,7.1426,12.817
39.993,-0.00022413,-0.0014116,-0.00033894,1,2.5346,20.651,7.1176,12.803
39.993,-0.00021508,-0.0014286,-0.00036428,1,2.5729,20.625,7.0929,12.789
39.993,-0.00020593,-0.0014462,-0.00039102,1,2.612,20.599,7.0676,12.774
39.993,-0.00019749,-0.0014622,-0.00041863,1,2.6506,20.574,7.0425,12.76
39.993,-0.00018913,-0.0014786,-0.00044734,1,2.6896,20.548,7.0171,12.745
39.992,-0.0001815,-0.0014953,-0.00047721,1,2.7286,20.523,6.9917,12.73
39.992,-0.00017409,-0.0015109,-0.00050756,1,2.7677,20.497,6.9661,12.715
39.992,-0.00016745,-0.0015261,-0.00053857,1,2.8068,20.471,6.9404,12.701
39.992,-0.00016126,-0.0015414,-0.00057009,1,2.8459,20.446,6.9146,12.686
39.992,-0.00015577,-0.0015565,-0.00060222,1,2.8854,20.421,6.8884,12.671
39.992,-0.00015083,-0.0015699,-0.00063403,1,2.9249,20.395,6.8621,12.655
39.991,-0.00014667,-0.0015836,-0.00066603,1,2.9644,20.37,6.8358,12.64
