"P","U","V","W","vtkValidPointMask"," s ","Points:0","Points:1","Points:2"
0,0,0,0,0,0,22.293,8.5342,14.064
0,0,0,0,0,0.042215,22.271,8.5153,14.033
0,0,0,0,0,0.084149,22.25,8.4963,14.003
0,0,0,0,0,0.12583,22.228,8.4772,13.973
0,0,0,0,0,0.16727,22.206,8.4581,13.943
0,0,0,0,0,0.20847,22.184,8.4388,13.914
0,0,0,0,0,0.24945,22.161,8.4195,13.886
0,0,0,0,0,0.29022,22.139,8.4,13.858
0,0,0,0,0,0.33077,22.116,8.3805,13.831
0,0,0,0,0,0.37114,22.093,8.3609,13.804
0,0,0,0,0,0.41134,22.07,8.3412,13.778
0,0,0,0,0,0.45136,22.047,8.3214,13.752
0,0,0,0,0,0.49121,22.023,8.3016,13.727
0,0,0,0,0,0.53092,22,8.2816,13.702
0,0,0,0,0,0.57049,21.976,8.2615,13.677
0,0,0,0,0,0.60992,21.952,8.2414,13.653
0,0,0,0,0,0.64922,21.928,8.2212,13.63
0,0,0,0,0,0.68841,21.904,8.2009,13.607
0,0,0,0,0,0.72749,21.879,8.1804,13.584
0,0,0,0,0,0.76647,21.855,8.1599,13.562
0,0,0,0,0,0.80536,21.83,8.1393,13.54
0,0,0,0,0,0.84416,21.805,8.1187,13.518
0,0,0,0,0,0.88288,21.78,8.0979,13.497
0,0,0,0,0,0.92152,21.755,8.077,13.476
0,0,0,0,0,0.9601,21.73,8.0561,13.456
0,0,0,0,0,0.99862,21.705,8.035,13.436
0,0,0,0,0,1.0371,21.679,8.0139,13.416
0,0,0,0,0,1.0755,21.654,7.9927,13.397
147.73,6.9528e-06,0.013082,0.00082147,1,1.1139,21.628,7.9714,13.378
147.73,-1.2806e-06,0.013044,0.0013827,1,1.1522,21.603,7.95,13.359
147.73,-4.8332e-06,0.013007,0.0019511,1,1.1905,21.577,7.9285,13.34
147.73,-1.3475e-05,0.012996,0.0024338,1,1.2288,21.551,7.9069,13.322
147.73,-1.8326e-05,0.012991,0.0029046,1,1.267,21.525,7.8852,13.304
147.73,-2.2411e-05,0.012977,0.0033219,1,1.3052,21.499,7.8635,13.287
147.73,-2.418e-05,0.012956,0.0036906,1,1.3434,21.473,7.8416,13.269
147.73,-2.2134e-05,0.012935,0.0040386,1,1.3816,21.447,7.8197,13.252
147.73,-1.7823e-05,0.012909,0.0043078,1,1.4198,21.421,7.7977,13.235
147.73,-8.9811e-06,0.012886,0.0045834,1,1.458,21.394,7.7755,13.219
147.73,2.8743e-06,0.012857,0.004764,1,1.4961,21.368,7.7533,13.202
147.73,1.8627e-05,0.01283,0.0049484,1,1.5343,21.341,7.731,13.186
147.73,3.8144e-05,0.012799,0.0050742,1,1.5725,21.315,7.7086,13.17
147.73,6.0991e-05,0.012769,0.0051799,1,1.6106,21.288,7.6861,13.155
147.73,8.7273e-05,0.012737,0.0052555,1,1.6488,21.262,7.6636,13.139
147.73,0.00011639,0.012706,0.0053007,1,1.687,21.235,7.6409,13.124
147.73,0.0001484,0.012674,0.005332,1,1.7252,21.209,7.6181,13.108
147.73,0.00018314,0.012641,0.0053304,1,1.7634,21.182,7.5953,13.093
147.73,0.00021956,0.01261,0.0053279,1,1.8016,21.155,7.5723,13.078
147.73,0.00025893,0.012577,0.0052947,1,1.8398,21.129,7.5493,13.064
147.73,0.00029913,0.012547,0.0052634,1,1.8781,21.102,7.5262,13.049
147.73,0.00034212,0.012515,0.0052134,1,1.9163,21.075,7.503,13.035
147.73,0.0003853,0.012485,0.0051636,1,1.9546,21.049,7.4797,13.02
147.73,0.00043204,0.012454,0.0051045,1,1.9935,21.022,7.4558,13.005
147.73,0.000478,0.012426,0.0050456,1,2.0318,20.995,7.4322,12.991
147.73,0.0005263,0.012398,0.0049876,1,2.0702,20.969,7.4087,12.976
147.73,0.0005752,0.012371,0.0049289,1,2.1087,20.942,7.3851,12.962
147.73,0.00062514,0.012346,0.0048743,1,2.1468,20.915,7.3616,12.947
147.73,0.00067675,0.012321,0.0048218,1,2.1857,20.889,7.3376,12.933
147.73,0.00072908,0.012298,0.0047739,1,2.2243,20.862,7.3137,12.918
147.73,0.00078281,0.012276,0.0047306,1,2.2631,20.835,7.2896,12.904
147.73,0.00083675,0.012256,0.0046925,1,2.3017,20.809,7.2655,12.889
147.73,0.00089238,0.012237,0.0046616,1,2.3406,20.782,7.2411,12.875
147.73,0.00094861,0.012219,0.0046342,1,2.3796,20.756,7.2165,12.86
147.73,0.001006,0.012202,0.0046156,1,2.4184,20.729,7.1919,12.846
147.73,0.0010634,0.012187,0.004602,1,2.457,20.703,7.1673,12.831
147.73,0.0011226,0.012173,0.0045969,1,2.4957,20.677,7.1426,12.817
147.73,0.0011823,0.012161,0.004596,1,2.5346,20.651,7.1176,12.803
147.73,0.0012426,0.012151,0.004604,1,2.5729,20.625,7.0929,12.789
147.72,0.0013043,0.012143,0.0046166,1,2.612,20.599,7.0676,12.774
147.72,0.0013671,0.012136,0.0046368,1,2.6506,20.574,7.0425,12.76
147.72,0.0014309,0.012132,0.0046615,1,2.6896,20.548,7.0171,12.745
147.72,0.001496,0.012129,0.0046943,1,2.7286,20.523,6.9917,12.73
147.72,0.0015619,0.012129,0.0047308,1,2.7677,20.497,6.9661,12.715
147.72,0.001629,0.012131,0.0047736,1,2.8068,20.471,6.9404,12.701
147.72,0.0016965,0.012134,0.0048208,1,2.8459,20.446,6.9146,12.686
147.72,0.0017664,0.012141,0.0048741,1,2.8854,20.421,6.8884,12.671
147.72,0.0018368,0.012149,0.0049314,1,2.9249,20.395,6.8621,12.655
147.72,0.0019084,0.01216,0.0049932,1,2.9644,20.37,6.8358,12.64
147.72,0.00198,0.012173,0.0050595,1,3.0037,20.346,6.8095,12.625
147.72,0.0020537,0.012189,0.005129,1,3.0432,20.321,6.783,12.609
147.72,0.0021278,0.012208,0.0052037,1,3.0828,20.296,6.7565,12.593
147.72,0.0022019,0.012228,0.0052801,1,3.1218,20.271,6.7302,12.578
