"P","U","V","W","vtkValidPointMask"," s ","Points:0","Points:1","Points:2"
0,0,0,0,0,0,22.293,8.5342,14.064
0,0,0,0,0,0.042215,22.271,8.5153,14.033
0,0,0,0,0,0.084149,22.25,8.4963,14.003
0,0,0,0,0,0.12583,22.228,8.4772,13.973
0,0,0,0,0,0.16727,22.206,8.4581,13.943
0,0,0,0,0,0.20847,22.184,8.4388,13.914
0,0,0,0,0,0.24945,22.161,8.4195,13.886
0,0,0,0,0,0.29022,22.139,8.4,13.858
0,0,0,0,0,0.33077,22.116,8.3805,13.831
0,0,0,0,0,0.37114,22.093,8.3609,13.804
0,0,0,0,0,0.41134,22.07,8.3412,13.778
0,0,0,0,0,0.45136,22.047,8.3214,13.752
0,0,0,0,0,0.49121,22.023,8.3016,13.727
0,0,0,0,0,0.53092,22,8.2816,13.702
0,0,0,0,0,0.57049,21.976,8.2615,13.677
0,0,0,0,0,0.60992,21.952,8.2414,13.653
0,0,0,0,0,0.64922,21.928,8.2212,13.63
0,0,0,0,0,0.68841,21.904,8.2009,13.607
0,0,0,0,0,0.72749,21.879,8.1804,13.584
0,0,0,0,0,0.76647,21.855,8.1599,13.562
0,0,0,0,0,0.80536,21.83,8.1393,13.54
0,0,0,0,0,0.84416,21.805,8.1187,13.518
0,0,0,0,0,0.88288,21.78,8.0979,13.497
0,0,0,0,0,0.92152,21.755,8.077,13.476
0,0,0,0,0,0.9601,21.73,8.0561,13.456
0,0,0,0,0,0.99862,21.705,8.035,13.436
0,0,0,0,0,1.0371,21.679,8.0139,13.416
0,0,0,0,0,1.0755,21.654,7.9927,13.397
-127.59,-0.00013418,-0.025245,-0.00046777,1,1.1139,21.628,7.9714,13.378
-127.59,-0.0002121,-0.025204,-0.00094014,1,1.1522,21.603,7.95,13.359
-127.59,-0.00028255,-0.025163,-0.001403,1,1.1905,21.577,7.9285,13.34
-127.59,-0.00033654,-0.025216,-0.0019284,1,1.2288,21.551,7.9069,13.322
-127.59,-0.00038432,-0.025287,-0.0024623,1,1.267,21.525,7.8852,13.304
-127.59,-0.00042306,-0.025335,-0.0030025,1,1.3052,21.499,7.8635,13.287
-127.59,-0.00045507,-0.025362,-0.0035491,1,1.3434,21.473,7.8416,13.269
-127.59,-0.00048344,-0.0254,-0.0040894,1,1.3816,21.447,7.8197,13.252
-127.58,-0.00050506,-0.025473,-0.0046112,1,1.4198,21.421,7.7977,13.235
-127.58,-0.00052624,-0.025546,-0.0051352,1,1.458,21.394,7.7755,13.219
-127.58,-0.0005417,-0.025604,-0.0056109,1,1.4961,21.368,7.7533,13.202
-127.58,-0.00055738,-0.025663,-0.0060897,1,1.5343,21.341,7.731,13.186
-127.58,-0.0005701,-0.025734,-0.0065241,1,1.5725,21.315,7.7086,13.17
-127.58,-0.0005829,-0.025811,-0.0069448,1,1.6106,21.288,7.6861,13.155
-127.58,-0.00059454,-0.025888,-0.0073347,1,1.6488,21.262,7.6636,13.139
-127.58,-0.00060535,-0.025965,-0.0076952,1,1.687,21.235,7.6409,13.124
-127.58,-0.0006169,-0.026047,-0.0080384,1,1.7252,21.209,7.6181,13.108
-127.58,-0.00062739,-0.026134,-0.0083385,1,1.7634,21.182,7.5953,13.093
-127.58,-0.00063841,-0.026224,-0.0086384,1,1.8016,21.155,7.5723,13.078
-127.58,-0.00064905,-0.026316,-0.0088846,1,1.8398,21.129,7.5493,13.064
-127.58,-0.00066035,-0.026412,-0.0091377,1,1.8781,21.102,7.5262,13.049
-127.58,-0.00067122,-0.026511,-0.0093434,1,1.9163,21.075,7.503,13.035
-127.58,-0.00068204,-0.026616,-0.0095532,1,1.9546,21.049,7.4797,13.02
-127.57,-0.00069514,-0.026725,-0.0097308,1,1.9935,21.022,7.4558,13.005
-127.57,-0.00070711,-0.026837,-0.009905,1,2.0318,20.995,7.4322,12.991
-127.57,-0.00072007,-0.026953,-0.010059,1,2.0702,20.969,7.4087,12.976
-127.57,-0.00073349,-0.027073,-0.010205,1,2.1087,20.942,7.3851,12.962
-127.57,-0.00074751,-0.027196,-0.01034,1,2.1468,20.915,7.3616,12.947
-127.57,-0.00076223,-0.027326,-0.010472,1,2.1857,20.889,7.3376,12.933
-127.57,-0.00077793,-0.027459,-0.010599,1,2.2243,20.862,7.3137,12.918
-127.57,-0.00079509,-0.027598,-0.01072,1,2.2631,20.835,7.2896,12.904
-127.57,-0.00081246,-0.02774,-0.010843,1,2.3017,20.809,7.2655,12.889
-127.57,-0.00083169,-0.027888,-0.010965,1,2.3406,20.782,7.2411,12.875
-127.57,-0.00085239,-0.028041,-0.011087,1,2.3796,20.756,7.2165,12.86
-127.57,-0.00087517,-0.028198,-0.01121,1,2.4184,20.729,7.1919,12.846
-127.57,-0.00089815,-0.02836,-0.011339,1,2.457,20.703,7.1673,12.831
-127.56,-0.00092454,-0.028525,-0.011469,1,2.4957,20.677,7.1426,12.817
-127.56,-0.00095199,-0.028698,-0.011604,1,2.5346,20.651,7.1176,12.803
-127.56,-0.00098237,-0.028871,-0.011744,1,2.5729,20.625,7.0929,12.789
-127.56,-0.0010141,-0.029053,-0.011893,1,2.612,20.599,7.0676,12.774
-127.56,-0.0010509,-0.029237,-0.012043,1,2.6506,20.574,7.0425,12.76
-127.56,-0.001089,-0.029429,-0.012203,1,2.6896,20.548,7.0171,12.745
-127.56,-0.0011314,-0.029624,-0.012371,1,2.7286,20.523,6.9917,12.73
-127.56,-0.0011763,-0.029825,-0.012545,1,2.7677,20.497,6.9661,12.715
-127.56,-0.0012263,-0.030031,-0.012726,1,2.8068,20.471,6.9404,12.701
-127.56,-0.0012783,-0.030241,-0.012916,1,2.8459,20.446,6.9146,12.686
-127.56,-0.0013372,-0.030459,-0.013115,1,2.8854,20.421,6.8884,12.671
-127.56,-0.0014,-0.030682,-0.013321,1,2.9249,20.395,6.8621,12.655
-127.55,-0.0014684,-0.030909,-0.013535,1,2.9644,20.37,6.8358,12.64
