"P","U","V","W","vtkValidPointMask"," s ","Points:0","Points:1","Points:2"
0,0,0,0,0,0,22.293,8.5342,14.064
0,0,0,0,0,0.042215,22.271,8.5153,14.033
0,0,0,0,0,0.084149,22.25,8.4963,14.003
0,0,0,0,0,0.12583,22.228,8.4772,13.973
0,0,0,0,0,0.16727,22.206,8.4581,13.943
0,0,0,0,0,0.20847,22.184,8.4388,13.914
0,0,0,0,0,0.24945,22.161,8.4195,13.886
0,0,0,0,0,0.29022,22.139,8.4,13.858
0,0,0,0,0,0.33077,22.116,8.3805,13.831
0,0,0,0,0,0.37114,22.093,8.3609,13.804
0,0,0,0,0,0.41134,22.07,8.3412,13.778
0,0,0,0,0,0.45136,22.047,8.3214,13.752
0,0,0,0,0,0.49121,22.023,8.3016,13.727
0,0,0,0,0,0.53092,22,8.2816,13.702
0,0,0,0,0,0.57049,21.976,8.2615,13.677
0,0,0,0,0,0.60992,21.952,8.2414,13.653
0,0,0,0,0,0.64922,21.928,8.2212,13.63
0,0,0,0,0,0.68841,21.904,8.2009,13.607
0,0,0,0,0,0.72749,21.879,8.1804,13.584
0,0,0,0,0,0.76647,21.855,8.1599,13.562
0,0,0,0,0,0.80536,21.83,8.1393,13.54
0,0,0,0,0,0.84416,21.805,8.1187,13.518
0,0,0,0,0,0.88288,21.78,8.0979,13.497
0,0,0,0,0,0.92152,21.755,8.077,13.476
0,0,0,0,0,0.9601,21.73,8.0561,13.456
0,0,0,0,0,0.99862,21.705,8.035,13.436
0,0,0,0,0,1.0371,21.679,8.0139,13.416
0,0,0,0,0,1.0755,21.654,7.9927,13.397
43.364,-0.000129,-0.0040301,0.00086523,1,1.1139,21.628,7.9714,13.378
43.364,-0.00020843,-0.0039512,0.001214,1,1.1522,21.603,7.95,13.359
43.365,-0.00027665,-0.0038706,0.0015782,1,1.1905,21.577,7.9285,13.34
43.365,-0.00032884,-0.0039567,0.0017235,1,1.2288,21.551,7.9069,13.322
43.365,-0.00037081,-0.0040734,0.0018334,1,1.267,21.525,7.8852,13.304
43.365,-0.00040149,-0.004138,0.0018524,1,1.3052,21.499,7.8635,13.287
43.366,-0.00042182,-0.0041551,0.0017881,1,1.3434,21.473,7.8416,13.269
43.366,-0.00043523,-0.0041896,0.0017002,1,1.3816,21.447,7.8197,13.252
43.366,-0.0004386,-0.0042832,0.0015236,1,1.4198,21.421,7.7977,13.235
43.366,-0.0004384,-0.0043748,0.0013509,1,1.458,21.394,7.7755,13.219
43.367,-0.00042948,-0.0044398,0.0011119,1,1.4961,21.368,7.7533,13.202
43.367,-0.00041829,-0.0045022,0.00087317,1,1.5343,21.341,7.731,13.186
43.367,-0.00040156,-0.0045828,0.00061387,1,1.5725,21.315,7.7086,13.17
43.367,-0.0003827,-0.0046696,0.00034578,1,1.6106,21.288,7.6861,13.155
43.368,-0.00036075,-0.0047528,7.7274e-05,1,1.6488,21.262,7.6636,13.139
43.368,-0.00033648,-0.0048328,-0.00019293,1,1.687,21.235,7.6409,13.124
43.368,-0.00031121,-0.0049155,-0.00045951,1,1.7252,21.209,7.6181,13.108
43.368,-0.00028354,-0.0050041,-0.00071477,1,1.7634,21.182,7.5953,13.093
43.369,-0.00025588,-0.0050923,-0.0009695,1,1.8016,21.155,7.5723,13.078
43.369,-0.00022597,-0.0051806,-0.0011992,1,1.8398,21.129,7.5493,13.064
43.369,-0.00019684,-0.0052694,-0.0014328,1,1.8781,21.102,7.5262,13.049
43.369,-0.00016549,-0.0053611,-0.0016342,1,1.9163,21.075,7.503,13.035
43.37,-0.00013479,-0.005454,-0.001838,1,1.9546,21.049,7.4797,13.02
43.37,-0.00010298,-0.0055496,-0.002016,1,1.9935,21.022,7.4558,13.005
43.37,-7.1714e-05,-0.0056449,-0.0021889,1,2.0318,20.995,7.4322,12.991
43.37,-3.9489e-05,-0.0057406,-0.0023382,1,2.0702,20.969,7.4087,12.976
43.371,-7.4997e-06,-0.0058385,-0.002479,1,2.1087,20.942,7.3851,12.962
43.371,2.4687e-05,-0.0059361,-0.0026033,1,2.1468,20.915,7.3616,12.947
43.371,5.7543e-05,-0.0060368,-0.0027193,1,2.1857,20.889,7.3376,12.933
43.372,9.013e-05,-0.0061382,-0.0028242,1,2.2243,20.862,7.3137,12.918
43.372,0.00012278,-0.0062419,-0.0029171,1,2.2631,20.835,7.2896,12.904
43.372,0.00015532,-0.0063465,-0.0030048,1,2.3017,20.809,7.2655,12.889
43.372,0.00018799,-0.0064529,-0.0030822,1,2.3406,20.782,7.2411,12.875
43.373,0.00022009,-0.0065621,-0.0031555,1,2.3796,20.756,7.2165,12.86
43.373,0.00025188,-0.006672,-0.0032198,1,2.4184,20.729,7.1919,12.846
43.373,0.0002834,-0.0067829,-0.0032832,1,2.457,20.703,7.1673,12.831
43.374,0.00031426,-0.0068953,-0.0033391,1,2.4957,20.677,7.1426,12.817
43.374,0.00034481,-0.0070103,-0.0033949,1,2.5346,20.651,7.1176,12.803
43.374,0.00037411,-0.0071242,-0.003446,1,2.5729,20.625,7.0929,12.789
43.374,0.00040366,-0.0072424,-0.0034994,1,2.612,20.599,7.0676,12.774
43.375,0.00043092,-0.0073601,-0.0035478,1,2.6506,20.574,7.0425,12.76
43.375,0.00045816,-0.007481,-0.003599,1,2.6896,20.548,7.0171,12.745
43.375,0.00048388,-0.0076019,-0.0036499,1,2.7286,20.523,6.9917,12.73
43.376,0.00050866,-0.0077254,-0.0037022,1,2.7677,20.497,6.9661,12.715
43.376,0.00053133,-0.0078496,-0.003755,1,2.8068,20.471,6.9404,12.701
43.376,0.00055316,-0.0079755,-0.0038111,1,2.8459,20.446,6.9146,12.686
43.377,0.00057261,-0.0081037,-0.0038689,1,2.8854,20.421,6.8884,12.671
43.377,0.0005902,-0.0082336,-0.0039285,1,2.9249,20.395,6.8621,12.655
43.377,0.00060536,-0.0083643,-0.0039908,1,2.9644,20.37,6.8358,12.64
