"P","U","V","W","vtkValidPointMask"," s ","Points:0","Points:1","Points:2"
0,0,0,0,0,0,22.293,8.5342,14.064
0,0,0,0,0,0.042215,22.271,8.5153,14.033
0,0,0,0,0,0.084149,22.25,8.4963,14.003
0,0,0,0,0,0.12583,22.228,8.4772,13.973
0,0,0,0,0,0.16727,22.206,8.4581,13.943
0,0,0,0,0,0.20847,22.184,8.4388,13.914
0,0,0,0,0,0.24945,22.161,8.4195,13.886
0,0,0,0,0,0.29022,22.139,8.4,13.858
0,0,0,0,0,0.33077,22.116,8.3805,13.831
0,0,0,0,0,0.37114,22.093,8.3609,13.804
0,0,0,0,0,0.41134,22.07,8.3412,13.778
0,0,0,0,0,0.45136,22.047,8.3214,13.752
0,0,0,0,0,0.49121,22.023,8.3016,13.727
0,0,0,0,0,0.53092,22,8.2816,13.702
0,0,0,0,0,0.57049,21.976,8.2615,13.677
0,0,0,0,0,0.60992,21.952,8.2414,13.653
0,0,0,0,0,0.64922,21.928,8.2212,13.63
0,0,0,0,0,0.68841,21.904,8.2009,13.607
0,0,0,0,0,0.72749,21.879,8.1804,13.584
0,0,0,0,0,0.76647,21.855,8.1599,13.562
0,0,0,0,0,0.80536,21.83,8.1393,13.54
0,0,0,0,0,0.84416,21.805,8.1187,13.518
0,0,0,0,0,0.88288,21.78,8.0979,13.497
0,0,0,0,0,0.92152,21.755,8.077,13.476
0,0,0,0,0,0.9601,21.73,8.0561,13.456
0,0,0,0,0,0.99862,21.705,8.035,13.436
0,0,0,0,0,1.0371,21.679,8.0139,13.416
0,0,0,0,0,1.0755,21.654,7.9927,13.397
373.87,0.00019,0.0088117,0.00037197,1,1.1139,21.628,7.9714,13.378
373.87,0.0003145,0.0088331,0.00061522,1,1.1522,21.603,7.95,13.359
373.87,0.0004322,0.0088544,0.00085137,1,1.1905,21.577,7.9285,13.34
373.87,0.0005345,0.0088887,0.0010682,1,1.2288,21.551,7.9069,13.322
373.87,0.0006293,0.0089255,0.0012768,1,1.267,21.525,7.8852,13.304
373.87,0.00071307,0.0089712,0.0014728,1,1.3052,21.499,7.8635,13.287
373.87,0.00078708,0.0090249,0.0016575,1,1.3434,21.473,7.8416,13.269
373.87,0.00085392,0.0090823,0.001835,1,1.3816,21.447,7.8197,13.252
373.87,0.00090928,0.0091501,0.0019986,1,1.4198,21.421,7.7977,13.235
373.87,0.00096037,0.0092186,0.0021599,1,1.458,21.394,7.7755,13.219
373.87,0.00099934,0.0092989,0.0023052,1,1.4961,21.368,7.7533,13.202
373.87,0.0010344,0.0093806,0.0024493,1,1.5343,21.341,7.731,13.186
373.87,0.0010605,0.0094706,0.002583,1,1.5725,21.315,7.7086,13.17
373.87,0.0010815,0.0095648,0.0027122,1,1.6106,21.288,7.6861,13.155
373.87,0.001096,0.0096647,0.0028357,1,1.6488,21.262,7.6636,13.139
373.87,0.0011045,0.0097705,0.0029543,1,1.687,21.235,7.6409,13.124
373.87,0.0011087,0.0098804,0.003069,1,1.7252,21.209,7.6181,13.108
373.87,0.0011065,0.0099972,0.0031779,1,1.7634,21.182,7.5953,13.093
373.87,0.0011013,0.010117,0.0032877,1,1.8016,21.155,7.5723,13.078
373.87,0.00109,0.010244,0.0033894,1,1.8398,21.129,7.5493,13.064
373.87,0.0010764,0.010374,0.0034932,1,1.8781,21.102,7.5262,13.049
373.87,0.0010576,0.010511,0.0035916,1,1.9163,21.075,7.503,13.035
373.87,0.0010364,0.010651,0.0036923,1,1.9546,21.049,7.4797,13.02
373.87,0.0010121,0.010799,0.0037883,1,1.9935,21.022,7.4558,13.005
373.87,0.00098558,0.010949,0.0038862,1,2.0318,20.995,7.4322,12.991
373.87,0.00095639,0.011103,0.0039815,1,2.0702,20.969,7.4087,12.976
373.87,0.00092509,0.011261,0.0040761,1,2.1087,20.942,7.3851,12.962
373.87,0.00089225,0.011422,0.0041701,1,2.1468,20.915,7.3616,12.947
373.87,0.00085749,0.01159,0.0042674,1,2.1857,20.889,7.3376,12.933
373.87,0.00082188,0.011761,0.0043646,1,2.2243,20.862,7.3137,12.918
373.87,0.00078543,0.011936,0.0044622,1,2.2631,20.835,7.2896,12.904
373.87,0.00074847,0.012114,0.0045629,1,2.3017,20.809,7.2655,12.889
373.87,0.00071153,0.012298,0.0046663,1,2.3406,20.782,7.2411,12.875
373.87,0.00067448,0.012484,0.0047705,1,2.3796,20.756,7.2165,12.86
373.87,0.00063855,0.012674,0.0048773,1,2.4184,20.729,7.1919,12.846
373.88,0.00060283,0.012866,0.0049877,1,2.457,20.703,7.1673,12.831
373.88,0.00056881,0.013061,0.0050996,1,2.4957,20.677,7.1426,12.817
373.88,0.00053514,0.01326,0.0052148,1,2.5346,20.651,7.1176,12.803
373.88,0.00050453,0.013458,0.0053321,1,2.5729,20.625,7.0929,12.789
373.88,0.00047416,0.013664,0.005456,1,2.612,20.599,7.0676,12.774
373.88,0.00044789,0.013867,0.0055781,1,2.6506,20.574,7.0425,12.76
373.88,0.00042251,0.014076,0.0057065,1,2.6896,20.548,7.0171,12.745
373.88,0.00040102,0.014286,0.0058387,1,2.7286,20.523,6.9917,12.73
373.88,0.00038147,0.014498,0.0059738,1,2.7677,20.497,6.9661,12.715
373.88,0.00036661,0.01471,0.0061117,1,2.8068,20.471,6.9404,12.701
373.88,0.00035437,0.014925,0.0062552,1,2.8459,20.446,6.9146,12.686
373.88,0.00034749,0.015144,0.0064028,1,2.8854,20.421,6.8884,12.671
373.88,0.00034435,0.015362,0.0065522,1,2.9249,20.395,6.8621,12.655
373.88,0.0003468,0.015581,0.0067061,1,2.9644,20.37,6.8358,12.64
373.88,0.00035289,0.015801,0.006865,1,3.0037,20.346,6.8095,12.625
373.88,0.00036533,0.01602,0.0070245,1,3.0432,20.321,6.783,12.609
373.88,0.00038238,0.016238,0.007188,1,3.0828,20.296,6.7565,12.593
373.88,0.00040451,0.016457,0.0073562,1,3.1218,20.271,6.7302,12.578
