        0.00500       23.28024        0.01091       -0.00049        0.00000
        0.01000      152.90579        0.11744       -0.00061       -0.00218
        0.01500      -17.83150       -0.01153       -0.00007       -0.02560
        0.02000       16.74286        0.01052       -0.00040       -0.02259
        0.02500        9.45160        0.00422       -0.00056       -0.02452
        0.03000       11.14351        0.00531       -0.00074       -0.02517
        0.03500        9.40672        0.00400       -0.00090       -0.02608
        0.04000       10.74539        0.00454       -0.00107       -0.02675
        0.04500        9.66699        0.00420       -0.00123       -0.02754
        0.05000        8.89018        0.00373       -0.00138       -0.02826
        0.05500       10.36371        0.00445       -0.00153       -0.02890
        0.06000        8.49346        0.00346       -0.00167       -0.02969
        0.06500        9.42454        0.00383       -0.00181       -0.03027
        0.07000        9.09767        0.00363       -0.00195       -0.03094
        0.07500        8.76788        0.00353       -0.00208       -0.03157
        0.08000        7.53303        0.00304       -0.00220       -0.03218
        0.08500        7.47773        0.00275       -0.00233       -0.03270
        0.09000        8.35634        0.00322       -0.00245       -0.03316
        0.09500        8.55551        0.00340       -0.00257       -0.03372
        0.10000        7.40937        0.00288       -0.00267       -0.03431
        0.10500        7.63164        0.00304       -0.00278       -0.03480
        0.11000        6.81060        0.00246       -0.00289       -0.03533
        0.11500        6.53623        0.00238       -0.00299       -0.03573
        0.12000        7.13863        0.00243       -0.00309       -0.03613
        0.12500        6.93688        0.00251       -0.00319       -0.03654
        0.13000        6.73959        0.00257       -0.00328       -0.03697
        0.13500        5.74522        0.00182       -0.00337       -0.03740
        0.14000        6.73596        0.00237       -0.00346       -0.03769
        0.14500        6.40527        0.00216       -0.00354       -0.03809
        0.15000        6.05215        0.00218       -0.00362       -0.03845
        0.15500        6.72204        0.00241       -0.00370       -0.03882
        0.16000        5.28024        0.00149       -0.00378       -0.03923
        0.16500        5.24642        0.00168       -0.00385       -0.03945
        0.17000        5.20025        0.00160       -0.00393       -0.03972
        0.17500        5.15754        0.00155       -0.00400       -0.03998
        0.18000        4.83569        0.00152       -0.00407       -0.04022
        0.18500        3.82445        0.00076       -0.00414       -0.04046
        0.19000        6.58212        0.00243       -0.00421       -0.04055
        0.19500        4.51491        0.00122       -0.00426       -0.04098
        0.20000        4.74803        0.00142       -0.00432       -0.04116
        0.20500        4.96976        0.00144       -0.00438       -0.04138
        0.21000        5.21852        0.00151       -0.00444       -0.04161
        0.21500        4.73917        0.00119       -0.00449       -0.04185
        0.22000        4.23093        0.00121       -0.00454       -0.04203
        0.22500        5.82366        0.00190       -0.00460       -0.04221
        0.23000        4.41998        0.00113       -0.00464       -0.04254
        0.23500        5.14786        0.00160       -0.00469       -0.04270
        0.24000        4.92304        0.00148       -0.00473       -0.04297
        0.24500        4.67552        0.00120       -0.00477       -0.04321
