# probe data (time, u, v, w, p)
# icell   218, jcell    43, kcell    97
# x=  0.10850E+02, y=  0.21000E+01, z=  0.48000E+01
 4.0005000E+01            -5.5176703074E-003            -5.9535452492E-003            -4.9988358545E-002             9.5485952810E+000
 4.0010000E+01            -5.6794556150E-003            -5.8940662940E-003            -4.9978219326E-002             1.0109810502E+001
 4.0015000E+01            -5.6777151117E-003            -5.8915375593E-003            -4.9933074520E-002             9.7245291427E+000
 4.0020000E+01            -5.6993960627E-003            -5.8686804941E-003            -4.9906119039E-002             8.5793970832E+000
 4.0025000E+01            -5.8078437272E-003            -5.8269904009E-003            -4.9886289327E-002             9.7581095189E+000
 4.0030000E+01            -6.0433566426E-003            -5.7559039021E-003            -4.9864997982E-002             1.0869193642E+001
 4.0035000E+01            -5.9818995550E-003            -5.7481656000E-003            -4.9815631008E-002             7.5847210296E+000
 4.0040000E+01            -6.0857898311E-003            -5.7027989630E-003            -4.9793811187E-002             9.7737901194E+000
 4.0045000E+01            -6.2011706954E-003            -5.6500466072E-003            -4.9764586151E-002             9.8847855400E+000
 4.0050000E+01            -6.3241383241E-003            -5.5859061166E-003            -4.9738895458E-002             1.0064790553E+001
 4.0055000E+01            -6.3884114910E-003            -5.5389974116E-003            -4.9699820419E-002             9.8419745882E+000
 4.0060000E+01            -6.4401849205E-003            -5.5357590949E-003            -4.9665054275E-002             8.8240173154E+000
 4.0065000E+01            -6.5826971011E-003            -5.4858990872E-003            -4.9643480068E-002             9.8476450407E+000
 4.0070000E+01            -6.8285260856E-003            -5.3952307474E-003            -4.9648675244E-002             1.0700223778E+001
 4.0075000E+01            -6.8207450328E-003            -5.3784850280E-003            -4.9618821250E-002             8.7140937154E+000
 4.0080000E+01            -6.9498734148E-003            -5.3392345350E-003            -4.9592775802E-002             9.7560051282E+000
 4.0085000E+01            -6.9225087930E-003            -5.3417148418E-003            -4.9543995258E-002             8.0915764477E+000
 4.0090000E+01            -7.0691495618E-003            -5.2796595957E-003            -4.9496950925E-002             1.0014614470E+001
 4.0095000E+01            -7.1876185542E-003            -5.2382905496E-003            -4.9467707446E-002             9.7283297712E+000
 4.0100000E+01            -7.2435680807E-003            -5.2037646252E-003            -4.9446500807E-002             9.4279786635E+000
 4.0105000E+01            -7.3899620827E-003            -5.1340480164E-003            -4.9422790702E-002             1.0132630973E+001
 4.0110000E+01            -7.4530881874E-003            -5.0974974108E-003            -4.9398384882E-002             9.0096343851E+000
 4.0115000E+01            -7.5369117160E-003            -5.0614382514E-003            -4.9365461857E-002             9.5779987939E+000
 4.0120000E+01            -7.5438843872E-003            -5.0553542227E-003            -4.9330957683E-002             8.6010846708E+000
 4.0125000E+01            -7.6315110231E-003            -5.0104467582E-003            -4.9300352010E-002             9.3241289585E+000
 4.0130000E+01            -7.8358437624E-003            -4.9260379841E-003            -4.9282140287E-002             1.0016385213E+001
 4.0135000E+01            -7.7801470624E-003            -4.9219396996E-003            -4.9248797431E-002             8.0922907550E+000
 4.0140000E+01            -7.9156326898E-003            -4.8827626613E-003            -4.9226708007E-002             9.4164468558E+000
 4.0145000E+01            -8.1000479768E-003            -4.8010860067E-003            -4.9185613786E-002             9.5617730409E+000
 4.0150000E+01            -8.2218052861E-003            -4.7471430826E-003            -4.9161698974E-002             9.8118094184E+000
 4.0155000E+01            -8.3466888903E-003            -4.6829667820E-003            -4.9130020205E-002             1.0076648982E+001
 4.0160000E+01            -8.3043977592E-003            -4.6953307955E-003            -4.9088776324E-002             7.7068890465E+000
 4.0165000E+01            -8.3298125806E-003            -4.6777209532E-003            -4.9058195338E-002             8.6558637130E+000
 4.0170000E+01            -8.5297339807E-003            -4.6000176579E-003            -4.9034976861E-002             9.4491898959E+000
 4.0175000E+01            -8.3680430469E-003            -4.6459172698E-003            -4.8991474418E-002             6.8214950674E+000
 4.0180000E+01            -8.5229384016E-003            -4.6046483230E-003            -4.8972217991E-002             9.3581278351E+000
 4.0185000E+01            -8.5625301574E-003            -4.5724129587E-003            -4.8958266563E-002             8.4930791632E+000
 4.0190000E+01            -8.7070381855E-003            -4.5295931794E-003            -4.8931597733E-002             1.0614421130E+001
 4.0195000E+01            -8.7873113937E-003            -4.4811463018E-003            -4.8901403614E-002             8.8699633335E+000
 4.0200000E+01            -8.7065792947E-003            -4.5124589763E-003            -4.8866072455E-002             8.1139667341E+000
 4.0205000E+01            -8.8583143337E-003            -4.4545771057E-003            -4.8834405243E-002             9.6720176203E+000
 4.0210000E+01            -8.9821672621E-003            -4.3925531689E-003            -4.8827604566E-002             8.9619302633E+000
 4.0215000E+01            -8.9809899244E-003            -4.3590451439E-003            -4.8796107696E-002             8.2982765236E+000
 4.0220000E+01            -9.1303566166E-003            -4.2996660619E-003            -4.8765658239E-002             9.9698755587E+000
 4.0225000E+01            -9.2467309939E-003            -4.2517686054E-003            -4.8753359188E-002             9.5975570891E+000
 4.0230000E+01            -9.2730270171E-003            -4.2156134401E-003            -4.8724902707E-002             9.2574791684E+000
 4.0235000E+01            -9.2297021660E-003            -4.1970047072E-003            -4.8707209345E-002             9.1860033714E+000
 4.0240000E+01            -9.4601526900E-003            -4.1303474766E-003            -4.8684899569E-002             1.0103870937E+001
 4.0245000E+01            -9.5224274566E-003            -4.0998119080E-003            -4.8673584154E-002             9.1086390744E+000
 4.0250000E+01            -9.6035249348E-003            -4.0587700309E-003            -4.8637799766E-002             9.0842438180E+000
 4.0255000E+01            -9.7030530467E-003            -4.0162464750E-003            -4.8615825777E-002             9.1313206825E+000
