"P","U","V","W","vtkValidPointMask"," s ","Points:0","Points:1","Points:2"
0,0,0,0,0,0,22.293,8.5342,14.064
0,0,0,0,0,0.042215,22.271,8.5153,14.033
0,0,0,0,0,0.084149,22.25,8.4963,14.003
0,0,0,0,0,0.12583,22.228,8.4772,13.973
0,0,0,0,0,0.16727,22.206,8.4581,13.943
0,0,0,0,0,0.20847,22.184,8.4388,13.914
0,0,0,0,0,0.24945,22.161,8.4195,13.886
0,0,0,0,0,0.29022,22.139,8.4,13.858
0,0,0,0,0,0.33077,22.116,8.3805,13.831
0,0,0,0,0,0.37114,22.093,8.3609,13.804
0,0,0,0,0,0.41134,22.07,8.3412,13.778
0,0,0,0,0,0.45136,22.047,8.3214,13.752
0,0,0,0,0,0.49121,22.023,8.3016,13.727
0,0,0,0,0,0.53092,22,8.2816,13.702
0,0,0,0,0,0.57049,21.976,8.2615,13.677
0,0,0,0,0,0.60992,21.952,8.2414,13.653
0,0,0,0,0,0.64922,21.928,8.2212,13.63
0,0,0,0,0,0.68841,21.904,8.2009,13.607
0,0,0,0,0,0.72749,21.879,8.1804,13.584
0,0,0,0,0,0.76647,21.855,8.1599,13.562
0,0,0,0,0,0.80536,21.83,8.1393,13.54
0,0,0,0,0,0.84416,21.805,8.1187,13.518
0,0,0,0,0,0.88288,21.78,8.0979,13.497
0,0,0,0,0,0.92152,21.755,8.077,13.476
0,0,0,0,0,0.9601,21.73,8.0561,13.456
0,0,0,0,0,0.99862,21.705,8.035,13.436
0,0,0,0,0,1.0371,21.679,8.0139,13.416
0,0,0,0,0,1.0755,21.654,7.9927,13.397
595.69,-3.5031e-05,-0.0045047,-0.00018991,1,1.1139,21.628,7.9714,13.378
595.69,-5.4981e-05,-0.0045126,-0.00030899,1,1.1522,21.603,7.95,13.359
595.69,-7.3621e-05,-0.0045203,-0.00042555,1,1.1905,21.577,7.9285,13.34
595.68,-8.8896e-05,-0.0045297,-0.00052874,1,1.2288,21.551,7.9069,13.322
595.68,-0.00010309,-0.004539,-0.0006281,1,1.267,21.525,7.8852,13.304
595.68,-0.00011551,-0.0045484,-0.00072003,1,1.3052,21.499,7.8635,13.287
595.68,-0.00012647,-0.0045577,-0.00080538,1,1.3434,21.473,7.8416,13.269
595.68,-0.00013709,-0.0045669,-0.00088757,1,1.3816,21.447,7.8197,13.252
595.68,-0.00014615,-0.0045767,-0.00096106,1,1.4198,21.421,7.7977,13.235
595.68,-0.0001557,-0.004586,-0.0010344,1,1.458,21.394,7.7755,13.219
595.68,-0.00016406,-0.0045961,-0.0010979,1,1.4961,21.368,7.7533,13.202
595.68,-0.00017305,-0.0046058,-0.0011614,1,1.5343,21.341,7.731,13.186
595.68,-0.00018172,-0.0046157,-0.0012184,1,1.5725,21.315,7.7086,13.17
595.68,-0.00019103,-0.0046256,-0.0012734,1,1.6106,21.288,7.6861,13.155
595.68,-0.00020064,-0.0046354,-0.0013247,1,1.6488,21.262,7.6636,13.139
595.68,-0.00021068,-0.004645,-0.0013726,1,1.687,21.235,7.6409,13.124
595.68,-0.00022169,-0.0046548,-0.0014188,1,1.7252,21.209,7.6181,13.108
595.68,-0.00023314,-0.0046644,-0.0014606,1,1.7634,21.182,7.5953,13.093
595.68,-0.00024559,-0.0046739,-0.0015027,1,1.8016,21.155,7.5723,13.078
595.68,-0.00025876,-0.0046835,-0.0015396,1,1.8398,21.129,7.5493,13.064
595.68,-0.00027308,-0.0046933,-0.0015777,1,1.8781,21.102,7.5262,13.049
595.68,-0.0002881,-0.0047027,-0.0016112,1,1.9163,21.075,7.503,13.035
595.68,-0.00030422,-0.0047125,-0.0016458,1,1.9546,21.049,7.4797,13.02
595.67,-0.00032188,-0.0047226,-0.0016772,1,1.9935,21.022,7.4558,13.005
595.67,-0.00034015,-0.0047328,-0.001709,1,2.0318,20.995,7.4322,12.991
595.67,-0.00035952,-0.0047427,-0.0017385,1,2.0702,20.969,7.4087,12.976
595.67,-0.00038005,-0.0047535,-0.0017676,1,2.1087,20.942,7.3851,12.962
595.67,-0.00040143,-0.0047642,-0.0017956,1,2.1468,20.915,7.3616,12.947
595.67,-0.00042425,-0.0047753,-0.0018239,1,2.1857,20.889,7.3376,12.933
595.67,-0.00044801,-0.004787,-0.0018516,1,2.2243,20.862,7.3137,12.918
595.67,-0.000473,-0.0047993,-0.0018788,1,2.2631,20.835,7.2896,12.904
595.67,-0.00049874,-0.004812,-0.0019064,1,2.3017,20.809,7.2655,12.889
595.67,-0.00052571,-0.004825,-0.001934,1,2.3406,20.782,7.2411,12.875
595.67,-0.00055374,-0.0048395,-0.0019618,1,2.3796,20.756,7.2165,12.86
595.67,-0.00058264,-0.0048541,-0.0019895,1,2.4184,20.729,7.1919,12.846
595.67,-0.00061215,-0.0048695,-0.0020182,1,2.457,20.703,7.1673,12.831
595.67,-0.00064274,-0.0048856,-0.0020467,1,2.4957,20.677,7.1426,12.817
595.67,-0.00067421,-0.0049032,-0.0020763,1,2.5346,20.651,7.1176,12.803
595.67,-0.0007061,-0.0049207,-0.0021058,1,2.5729,20.625,7.0929,12.789
595.67,-0.00073927,-0.0049398,-0.0021375,1,2.612,20.599,7.0676,12.774
595.66,-0.00077306,-0.0049599,-0.0021684,1,2.6506,20.574,7.0425,12.76
595.66,-0.00080782,-0.0049815,-0.0022014,1,2.6896,20.548,7.0171,12.745
595.66,-0.00084338,-0.0050033,-0.0022351,1,2.7286,20.523,6.9917,12.73
595.66,-0.00087967,-0.0050274,-0.0022703,1,2.7677,20.497,6.9661,12.715
595.66,-0.00091674,-0.0050523,-0.0023061,1,2.8068,20.471,6.9404,12.701
595.66,-0.00095426,-0.0050785,-0.0023439,1,2.8459,20.446,6.9146,12.686
595.66,-0.00099329,-0.0051061,-0.0023829,1,2.8854,20.421,6.8884,12.671
595.66,-0.0010327,-0.0051359,-0.0024233,1,2.9249,20.395,6.8621,12.655
595.66,-0.0010732,-0.0051666,-0.002465,1,2.9644,20.37,6.8358,12.64
