"P","U","V","W","vtkValidPointMask"," s ","Points:0","Points:1","Points:2"
0,0,0,0,0,0,22.293,8.5342,14.064
0,0,0,0,0,0.042215,22.271,8.5153,14.033
0,0,0,0,0,0.084149,22.25,8.4963,14.003
0,0,0,0,0,0.12583,22.228,8.4772,13.973
0,0,0,0,0,0.16727,22.206,8.4581,13.943
0,0,0,0,0,0.20847,22.184,8.4388,13.914
0,0,0,0,0,0.24945,22.161,8.4195,13.886
0,0,0,0,0,0.29022,22.139,8.4,13.858
0,0,0,0,0,0.33077,22.116,8.3805,13.831
0,0,0,0,0,0.37114,22.093,8.3609,13.804
0,0,0,0,0,0.41134,22.07,8.3412,13.778
0,0,0,0,0,0.45136,22.047,8.3214,13.752
0,0,0,0,0,0.49121,22.023,8.3016,13.727
0,0,0,0,0,0.53092,22,8.2816,13.702
0,0,0,0,0,0.57049,21.976,8.2615,13.677
0,0,0,0,0,0.60992,21.952,8.2414,13.653
0,0,0,0,0,0.64922,21.928,8.2212,13.63
0,0,0,0,0,0.68841,21.904,8.2009,13.607
0,0,0,0,0,0.72749,21.879,8.1804,13.584
0,0,0,0,0,0.76647,21.855,8.1599,13.562
0,0,0,0,0,0.80536,21.83,8.1393,13.54
0,0,0,0,0,0.84416,21.805,8.1187,13.518
0,0,0,0,0,0.88288,21.78,8.0979,13.497
0,0,0,0,0,0.92152,21.755,8.077,13.476
0,0,0,0,0,0.9601,21.73,8.0561,13.456
0,0,0,0,0,0.99862,21.705,8.035,13.436
0,0,0,0,0,1.0371,21.679,8.0139,13.416
0,0,0,0,0,1.0755,21.654,7.9927,13.397
530.36,-0.00019429,-0.014206,-0.00057999,1,1.1139,21.628,7.9714,13.378
530.36,-0.0003172,-0.014229,-0.0009665,1,1.1522,21.603,7.95,13.359
530.36,-0.00043215,-0.014252,-0.0013433,1,1.1905,21.577,7.9285,13.34
530.36,-0.00052926,-0.014291,-0.0016832,1,1.2288,21.551,7.9069,13.322
530.36,-0.00061829,-0.014333,-0.0020105,1,1.267,21.525,7.8852,13.304
530.36,-0.00069565,-0.014383,-0.0023148,1,1.3052,21.499,7.8635,13.287
530.36,-0.00076284,-0.014441,-0.002599,1,1.3434,21.473,7.8416,13.269
530.36,-0.00082355,-0.014501,-0.0028718,1,1.3816,21.447,7.8197,13.252
530.36,-0.00087274,-0.014572,-0.003119,1,1.4198,21.421,7.7977,13.235
530.36,-0.00091892,-0.014643,-0.0033638,1,1.458,21.394,7.7755,13.219
530.36,-0.0009538,-0.014725,-0.0035797,1,1.4961,21.368,7.7533,13.202
530.36,-0.0009862,-0.014807,-0.0037945,1,1.5343,21.341,7.731,13.186
530.36,-0.001011,-0.014896,-0.0039904,1,1.5725,21.315,7.7086,13.17
530.36,-0.0010325,-0.014989,-0.0041793,1,1.6106,21.288,7.6861,13.155
530.36,-0.0010493,-0.015086,-0.0043576,1,1.6488,21.262,7.6636,13.139
530.36,-0.0010619,-0.015188,-0.0045265,1,1.687,21.235,7.6409,13.124
530.36,-0.0010723,-0.015294,-0.0046896,1,1.7252,21.209,7.6181,13.108
530.36,-0.0010784,-0.015405,-0.0048409,1,1.7634,21.182,7.5953,13.093
530.36,-0.0010834,-0.015518,-0.0049934,1,1.8016,21.155,7.5723,13.078
530.36,-0.0010849,-0.015637,-0.0051312,1,1.8398,21.129,7.5493,13.064
530.36,-0.001086,-0.015759,-0.0052724,1,1.8781,21.102,7.5262,13.049
530.35,-0.0010842,-0.015886,-0.0054021,1,1.9163,21.075,7.503,13.035
530.35,-0.0010819,-0.016016,-0.0055352,1,1.9546,21.049,7.4797,13.02
530.35,-0.0010795,-0.016153,-0.0056597,1,1.9935,21.022,7.4558,13.005
530.35,-0.0010763,-0.016292,-0.005786,1,2.0318,20.995,7.4322,12.991
530.35,-0.0010726,-0.016434,-0.0059069,1,2.0702,20.969,7.4087,12.976
530.35,-0.0010691,-0.016581,-0.0060265,1,2.1087,20.942,7.3851,12.962
530.35,-0.0010657,-0.016729,-0.0061439,1,2.1468,20.915,7.3616,12.947
530.35,-0.0010627,-0.016884,-0.0062644,1,2.1857,20.889,7.3376,12.933
530.35,-0.0010606,-0.017043,-0.006384,1,2.2243,20.862,7.3137,12.918
530.35,-0.0010597,-0.017206,-0.006503,1,2.2631,20.835,7.2896,12.904
530.35,-0.0010594,-0.017371,-0.0066254,1,2.3017,20.809,7.2655,12.889
530.35,-0.001061,-0.017542,-0.0067499,1,2.3406,20.782,7.2411,12.875
530.35,-0.0010641,-0.017718,-0.0068754,1,2.3796,20.756,7.2165,12.86
530.35,-0.0010695,-0.017897,-0.0070027,1,2.4184,20.729,7.1919,12.846
530.35,-0.0010759,-0.018079,-0.0071347,1,2.457,20.703,7.1673,12.831
530.35,-0.0010853,-0.018265,-0.0072676,1,2.4957,20.677,7.1426,12.817
530.35,-0.0010963,-0.018455,-0.0074048,1,2.5346,20.651,7.1176,12.803
530.35,-0.0011104,-0.018646,-0.0075438,1,2.5729,20.625,7.0929,12.789
530.35,-0.0011264,-0.018845,-0.0076912,1,2.612,20.599,7.0676,12.774
530.35,-0.0011469,-0.019044,-0.0078362,1,2.6506,20.574,7.0425,12.76
530.34,-0.0011693,-0.01925,-0.0079895,1,2.6896,20.548,7.0171,12.745
530.34,-0.001196,-0.019457,-0.0081469,1,2.7286,20.523,6.9917,12.73
530.34,-0.0012252,-0.019669,-0.0083088,1,2.7677,20.497,6.9661,12.715
530.34,-0.0012594,-0.019884,-0.008474,1,2.8068,20.471,6.9404,12.701
530.34,-0.0012962,-0.020102,-0.0086467,1,2.8459,20.446,6.9146,12.686
530.34,-0.0013394,-0.020326,-0.0088246,1,2.8854,20.421,6.8884,12.671
530.34,-0.0013863,-0.020553,-0.009006,1,2.9249,20.395,6.8621,12.655
530.34,-0.001439,-0.020783,-0.009193,1,2.9644,20.37,6.8358,12.64
530.34,-0.0014943,-0.021014,-0.0093872,1,3.0037,20.346,6.8095,12.625
