"P","U","V","W","vtkValidPointMask"," s ","Points:0","Points:1","Points:2"
0,0,0,0,0,0,22.293,8.5342,14.064
0,0,0,0,0,0.042215,22.271,8.5153,14.033
0,0,0,0,0,0.084149,22.25,8.4963,14.003
0,0,0,0,0,0.12583,22.228,8.4772,13.973
0,0,0,0,0,0.16727,22.206,8.4581,13.943
0,0,0,0,0,0.20847,22.184,8.4388,13.914
0,0,0,0,0,0.24945,22.161,8.4195,13.886
0,0,0,0,0,0.29022,22.139,8.4,13.858
0,0,0,0,0,0.33077,22.116,8.3805,13.831
0,0,0,0,0,0.37114,22.093,8.3609,13.804
0,0,0,0,0,0.41134,22.07,8.3412,13.778
0,0,0,0,0,0.45136,22.047,8.3214,13.752
0,0,0,0,0,0.49121,22.023,8.3016,13.727
0,0,0,0,0,0.53092,22,8.2816,13.702
0,0,0,0,0,0.57049,21.976,8.2615,13.677
0,0,0,0,0,0.60992,21.952,8.2414,13.653
0,0,0,0,0,0.64922,21.928,8.2212,13.63
0,0,0,0,0,0.68841,21.904,8.2009,13.607
0,0,0,0,0,0.72749,21.879,8.1804,13.584
0,0,0,0,0,0.76647,21.855,8.1599,13.562
0,0,0,0,0,0.80536,21.83,8.1393,13.54
0,0,0,0,0,0.84416,21.805,8.1187,13.518
0,0,0,0,0,0.88288,21.78,8.0979,13.497
0,0,0,0,0,0.92152,21.755,8.077,13.476
0,0,0,0,0,0.9601,21.73,8.0561,13.456
0,0,0,0,0,0.99862,21.705,8.035,13.436
0,0,0,0,0,1.0371,21.679,8.0139,13.416
0,0,0,0,0,1.0755,21.654,7.9927,13.397
747.54,0.00022989,0.012607,0.00051847,1,1.1139,21.628,7.9714,13.378
747.54,0.00037741,0.01263,0.00086652,1,1.1522,21.603,7.95,13.359
747.54,0.00051673,0.012652,0.0012052,1,1.1905,21.577,7.9285,13.34
747.54,0.00063753,0.012693,0.0015116,1,1.2288,21.551,7.9069,13.322
747.54,0.0007496,0.012736,0.0018062,1,1.267,21.525,7.8852,13.304
747.54,0.00084876,0.01279,0.0020808,1,1.3052,21.499,7.8635,13.287
747.54,0.00093653,0.012854,0.0023377,1,1.3434,21.473,7.8416,13.269
747.54,0.0010165,0.012921,0.0025843,1,1.3816,21.447,7.8197,13.252
747.54,0.0010831,0.013,0.0028094,1,1.4198,21.421,7.7977,13.235
747.54,0.0011456,0.013079,0.0030318,1,1.458,21.394,7.7755,13.219
747.54,0.0011943,0.013173,0.0032303,1,1.4961,21.368,7.7533,13.202
747.54,0.0012394,0.013267,0.0034275,1,1.5343,21.341,7.731,13.186
747.54,0.0012746,0.01337,0.0036093,1,1.5725,21.315,7.7086,13.17
747.54,0.0013048,0.013478,0.0037849,1,1.6106,21.288,7.6861,13.155
747.54,0.0013283,0.013592,0.003952,1,1.6488,21.262,7.6636,13.139
747.54,0.0013457,0.013712,0.0041116,1,1.687,21.235,7.6409,13.124
747.54,0.0013591,0.013836,0.004266,1,1.7252,21.209,7.6181,13.108
747.54,0.0013661,0.013968,0.0044113,1,1.7634,21.182,7.5953,13.093
747.54,0.0013705,0.014103,0.0045578,1,1.8016,21.155,7.5723,13.078
747.54,0.0013689,0.014246,0.0046923,1,1.8398,21.129,7.5493,13.064
747.54,0.0013657,0.014392,0.0048299,1,1.8781,21.102,7.5262,13.049
747.54,0.0013573,0.014544,0.0049586,1,1.9163,21.075,7.503,13.035
747.54,0.0013472,0.014701,0.0050905,1,1.9546,21.049,7.4797,13.02
747.54,0.0013348,0.014867,0.0052154,1,1.9935,21.022,7.4558,13.005
747.54,0.0013204,0.015034,0.0053425,1,2.0318,20.995,7.4322,12.991
747.54,0.0013039,0.015207,0.0054655,1,2.0702,20.969,7.4087,12.976
747.54,0.0012859,0.015383,0.0055875,1,2.1087,20.942,7.3851,12.962
747.54,0.0012668,0.015563,0.0057082,1,2.1468,20.915,7.3616,12.947
747.54,0.0012467,0.015751,0.0058327,1,2.1857,20.889,7.3376,12.933
747.54,0.0012263,0.015942,0.0059569,1,2.2243,20.862,7.3137,12.918
747.54,0.0012058,0.016138,0.0060811,1,2.2631,20.835,7.2896,12.904
747.54,0.0011852,0.016338,0.0062093,1,2.3017,20.809,7.2655,12.889
747.54,0.0011655,0.016544,0.0063403,1,2.3406,20.782,7.2411,12.875
747.54,0.0011463,0.016754,0.0064725,1,2.3796,20.756,7.2165,12.86
747.54,0.0011289,0.016968,0.0066074,1,2.4184,20.729,7.1919,12.846
747.54,0.0011121,0.017186,0.0067471,1,2.457,20.703,7.1673,12.831
747.54,0.0010978,0.017406,0.0068885,1,2.4957,20.677,7.1426,12.817
747.54,0.0010845,0.017632,0.0070342,1,2.5346,20.651,7.1176,12.803
747.54,0.0010746,0.017858,0.0071822,1,2.5729,20.625,7.0929,12.789
747.54,0.0010659,0.018093,0.0073389,1,2.612,20.599,7.0676,12.774
747.54,0.0010619,0.018326,0.0074933,1,2.6506,20.574,7.0425,12.76
747.55,0.0010595,0.018566,0.0076561,1,2.6896,20.548,7.0171,12.745
747.55,0.0010617,0.018808,0.0078235,1,2.7286,20.523,6.9917,12.73
747.55,0.0010665,0.019053,0.0079951,1,2.7677,20.497,6.9661,12.715
747.55,0.0010768,0.0193,0.0081704,1,2.8068,20.471,6.9404,12.701
747.55,0.0010902,0.019552,0.008353,1,2.8459,20.446,6.9146,12.686
747.55,0.0011103,0.019807,0.0085411,1,2.8854,20.421,6.8884,12.671
747.55,0.0011347,0.020064,0.0087321,1,2.9249,20.395,6.8621,12.655
747.55,0.0011657,0.020324,0.008929,1,2.9644,20.37,6.8358,12.64
747.55,0.0012004,0.020584,0.0091329,1,3.0037,20.346,6.8095,12.625
747.55,0.0012431,0.020847,0.0093379,1,3.0432,20.321,6.783,12.609
747.55,0.0012908,0.021109,0.0095491,1,3.0828,20.296,6.7565,12.593
747.55,0.0013441,0.021374,0.009766,1,3.1218,20.271,6.7302,12.578
