"P","U","V","W","vtkValidPointMask"," s ","Points:0","Points:1","Points:2"
0,0,0,0,0,0,22.293,8.5342,14.064
0,0,0,0,0,0.042215,22.271,8.5153,14.033
0,0,0,0,0,0.084149,22.25,8.4963,14.003
0,0,0,0,0,0.12583,22.228,8.4772,13.973
0,0,0,0,0,0.16727,22.206,8.4581,13.943
0,0,0,0,0,0.20847,22.184,8.4388,13.914
0,0,0,0,0,0.24945,22.161,8.4195,13.886
0,0,0,0,0,0.29022,22.139,8.4,13.858
0,0,0,0,0,0.33077,22.116,8.3805,13.831
0,0,0,0,0,0.37114,22.093,8.3609,13.804
0,0,0,0,0,0.41134,22.07,8.3412,13.778
0,0,0,0,0,0.45136,22.047,8.3214,13.752
0,0,0,0,0,0.49121,22.023,8.3016,13.727
0,0,0,0,0,0.53092,22,8.2816,13.702
0,0,0,0,0,0.57049,21.976,8.2615,13.677
0,0,0,0,0,0.60992,21.952,8.2414,13.653
0,0,0,0,0,0.64922,21.928,8.2212,13.63
0,0,0,0,0,0.68841,21.904,8.2009,13.607
0,0,0,0,0,0.72749,21.879,8.1804,13.584
0,0,0,0,0,0.76647,21.855,8.1599,13.562
0,0,0,0,0,0.80536,21.83,8.1393,13.54
0,0,0,0,0,0.84416,21.805,8.1187,13.518
0,0,0,0,0,0.88288,21.78,8.0979,13.497
0,0,0,0,0,0.92152,21.755,8.077,13.476
0,0,0,0,0,0.9601,21.73,8.0561,13.456
0,0,0,0,0,0.99862,21.705,8.035,13.436
0,0,0,0,0,1.0371,21.679,8.0139,13.416
0,0,0,0,0,1.0755,21.654,7.9927,13.397
418.7,-0.00051502,-0.027711,-0.0011282,1,1.1139,21.628,7.9714,13.378
418.7,-0.00084531,-0.027763,-0.0018893,1,1.1522,21.603,7.95,13.359
418.7,-0.0011556,-0.027814,-0.0026295,1,1.1905,21.577,7.9285,13.34
418.7,-0.0014235,-0.027909,-0.0033006,1,1.2288,21.551,7.9069,13.322
418.7,-0.0016701,-0.028011,-0.0039458,1,1.267,21.525,7.8852,13.304
418.7,-0.001886,-0.028138,-0.0045486,1,1.3052,21.499,7.8635,13.287
418.7,-0.0020747,-0.028287,-0.0051139,1,1.3434,21.473,7.8416,13.269
418.69,-0.0022433,-0.028447,-0.0056569,1,1.3816,21.447,7.8197,13.252
418.69,-0.0023802,-0.028637,-0.0061549,1,1.4198,21.421,7.7977,13.235
418.69,-0.0025048,-0.028829,-0.0066462,1,1.458,21.394,7.7755,13.219
418.69,-0.0025964,-0.029055,-0.0070873,1,1.4961,21.368,7.7533,13.202
418.69,-0.0026768,-0.029284,-0.0075247,1,1.5343,21.341,7.731,13.186
418.69,-0.0027326,-0.029536,-0.0079295,1,1.5725,21.315,7.7086,13.17
418.69,-0.0027741,-0.029799,-0.0083206,1,1.6106,21.288,7.6861,13.155
418.69,-0.0027978,-0.030078,-0.0086935,1,1.6488,21.262,7.6636,13.139
418.69,-0.0028049,-0.030374,-0.0090506,1,1.687,21.235,7.6409,13.124
418.69,-0.0027999,-0.030681,-0.0093959,1,1.7252,21.209,7.6181,13.108
418.69,-0.0027776,-0.031007,-0.0097222,1,1.7634,21.182,7.5953,13.093
418.69,-0.0027465,-0.031341,-0.010051,1,1.8016,21.155,7.5723,13.078
418.69,-0.002699,-0.031696,-0.010354,1,1.8398,21.129,7.5493,13.064
418.69,-0.0026448,-0.032059,-0.010664,1,1.8781,21.102,7.5262,13.049
418.69,-0.0025764,-0.032441,-0.010955,1,1.9163,21.075,7.503,13.035
418.69,-0.0025009,-0.032832,-0.011254,1,1.9546,21.049,7.4797,13.02
418.69,-0.002417,-0.033248,-0.011537,1,1.9935,21.022,7.4558,13.005
418.69,-0.0023266,-0.033668,-0.011825,1,2.0318,20.995,7.4322,12.991
418.69,-0.0022287,-0.034101,-0.012105,1,2.0702,20.969,7.4087,12.976
418.69,-0.0021249,-0.034545,-0.012382,1,2.1087,20.942,7.3851,12.962
418.69,-0.0020168,-0.034996,-0.012657,1,2.1468,20.915,7.3616,12.947
418.69,-0.0019026,-0.035469,-0.012941,1,2.1857,20.889,7.3376,12.933
418.69,-0.0017859,-0.03595,-0.013224,1,2.2243,20.862,7.3137,12.918
418.69,-0.0016667,-0.036444,-0.013507,1,2.2631,20.835,7.2896,12.904
418.69,-0.0015456,-0.036947,-0.013798,1,2.3017,20.809,7.2655,12.889
418.69,-0.0014239,-0.037466,-0.014097,1,2.3406,20.782,7.2411,12.875
418.69,-0.0013018,-0.037995,-0.014398,1,2.3796,20.756,7.2165,12.86
418.69,-0.0011824,-0.038533,-0.014706,1,2.4184,20.729,7.1919,12.846
418.68,-0.0010629,-0.039079,-0.015023,1,2.457,20.703,7.1673,12.831
418.68,-0.00094795,-0.039634,-0.015345,1,2.4957,20.677,7.1426,12.817
418.68,-0.00083341,-0.0402,-0.015676,1,2.5346,20.651,7.1176,12.803
418.68,-0.00072707,-0.040766,-0.016012,1,2.5729,20.625,7.0929,12.789
418.68,-0.00062023,-0.041354,-0.016367,1,2.612,20.599,7.0676,12.774
418.68,-0.00052528,-0.041936,-0.016717,1,2.6506,20.574,7.0425,12.76
418.68,-0.0004317,-0.042535,-0.017084,1,2.6896,20.548,7.0171,12.745
418.68,-0.00034834,-0.043138,-0.017462,1,2.7286,20.523,6.9917,12.73
418.68,-0.00027006,-0.043749,-0.017849,1,2.7677,20.497,6.9661,12.715
418.68,-0.00020453,-0.044361,-0.018243,1,2.8068,20.471,6.9404,12.701
418.68,-0.00014543,-0.044983,-0.018653,1,2.8459,20.446,6.9146,12.686
418.68,-0.00010063,-0.045616,-0.019075,1,2.8854,20.421,6.8884,12.671
418.68,-6.6352e-05,-0.046247,-0.019502,1,2.9249,20.395,6.8621,12.655
418.68,-4.6877e-05,-0.046886,-0.019942,1,2.9644,20.37,6.8358,12.64
418.68,-3.6901e-05,-0.047524,-0.020396,1,3.0037,20.346,6.8095,12.625
