"P","U","V","W","vtkValidPointMask"," s ","Points:0","Points:1","Points:2"
0,0,0,0,0,0,22.293,8.5342,14.064
0,0,0,0,0,0.042215,22.271,8.5153,14.033
0,0,0,0,0,0.084149,22.25,8.4963,14.003
0,0,0,0,0,0.12583,22.228,8.4772,13.973
0,0,0,0,0,0.16727,22.206,8.4581,13.943
0,0,0,0,0,0.20847,22.184,8.4388,13.914
0,0,0,0,0,0.24945,22.161,8.4195,13.886
0,0,0,0,0,0.29022,22.139,8.4,13.858
0,0,0,0,0,0.33077,22.116,8.3805,13.831
0,0,0,0,0,0.37114,22.093,8.3609,13.804
0,0,0,0,0,0.41134,22.07,8.3412,13.778
0,0,0,0,0,0.45136,22.047,8.3214,13.752
0,0,0,0,0,0.49121,22.023,8.3016,13.727
0,0,0,0,0,0.53092,22,8.2816,13.702
0,0,0,0,0,0.57049,21.976,8.2615,13.677
0,0,0,0,0,0.60992,21.952,8.2414,13.653
0,0,0,0,0,0.64922,21.928,8.2212,13.63
0,0,0,0,0,0.68841,21.904,8.2009,13.607
0,0,0,0,0,0.72749,21.879,8.1804,13.584
0,0,0,0,0,0.76647,21.855,8.1599,13.562
0,0,0,0,0,0.80536,21.83,8.1393,13.54
0,0,0,0,0,0.84416,21.805,8.1187,13.518
0,0,0,0,0,0.88288,21.78,8.0979,13.497
0,0,0,0,0,0.92152,21.755,8.077,13.476
0,0,0,0,0,0.9601,21.73,8.0561,13.456
0,0,0,0,0,0.99862,21.705,8.035,13.436
0,0,0,0,0,1.0371,21.679,8.0139,13.416
0,0,0,0,0,1.0755,21.654,7.9927,13.397
474.84,-0.00049302,-0.025647,-0.0010182,1,1.1139,21.628,7.9714,13.378
474.84,-0.00080876,-0.025688,-0.0017223,1,1.1522,21.603,7.95,13.359
474.84,-0.0011054,-0.025728,-0.0024066,1,1.1905,21.577,7.9285,13.34
474.84,-0.0013613,-0.025812,-0.0030316,1,1.2288,21.551,7.9069,13.322
474.84,-0.0015967,-0.025904,-0.0036332,1,1.267,21.525,7.8852,13.304
474.84,-0.0018026,-0.026022,-0.0041961,1,1.3052,21.499,7.8635,13.287
474.84,-0.0019823,-0.026164,-0.0047247,1,1.3434,21.473,7.8416,13.269
474.84,-0.0021427,-0.026315,-0.0052322,1,1.3816,21.447,7.8197,13.252
474.84,-0.0022728,-0.026497,-0.0056973,1,1.4198,21.421,7.7977,13.235
474.84,-0.0023911,-0.02668,-0.0061561,1,1.458,21.394,7.7755,13.219
474.85,-0.0024776,-0.026896,-0.0065675,1,1.4961,21.368,7.7533,13.202
474.85,-0.0025533,-0.027115,-0.0069754,1,1.5343,21.341,7.731,13.186
474.85,-0.0026053,-0.027355,-0.0073527,1,1.5725,21.315,7.7086,13.17
474.85,-0.0026434,-0.027607,-0.0077171,1,1.6106,21.288,7.6861,13.155
474.85,-0.0026643,-0.027875,-0.0080648,1,1.6488,21.262,7.6636,13.139
474.85,-0.0026691,-0.028157,-0.0083978,1,1.687,21.235,7.6409,13.124
474.85,-0.0026619,-0.028451,-0.0087198,1,1.7252,21.209,7.6181,13.108
474.85,-0.0026381,-0.028764,-0.0090245,1,1.7634,21.182,7.5953,13.093
474.85,-0.0026054,-0.029084,-0.0093314,1,1.8016,21.155,7.5723,13.078
474.85,-0.0025569,-0.029424,-0.009615,1,1.8398,21.129,7.5493,13.064
474.85,-0.0025016,-0.029772,-0.0099044,1,1.8781,21.102,7.5262,13.049
474.85,-0.0024325,-0.030138,-0.010177,1,1.9163,21.075,7.503,13.035
474.85,-0.0023562,-0.030513,-0.010457,1,1.9546,21.049,7.4797,13.02
474.85,-0.0022716,-0.030912,-0.010722,1,1.9935,21.022,7.4558,13.005
474.85,-0.0021804,-0.031315,-0.010993,1,2.0318,20.995,7.4322,12.991
474.85,-0.0020819,-0.03173,-0.011255,1,2.0702,20.969,7.4087,12.976
474.85,-0.0019774,-0.032155,-0.011516,1,2.1087,20.942,7.3851,12.962
474.85,-0.0018686,-0.032588,-0.011774,1,2.1468,20.915,7.3616,12.947
474.86,-0.0017535,-0.033041,-0.01204,1,2.1857,20.889,7.3376,12.933
474.86,-0.0016359,-0.033502,-0.012306,1,2.2243,20.862,7.3137,12.918
474.86,-0.0015156,-0.033975,-0.012573,1,2.2631,20.835,7.2896,12.904
474.86,-0.0013932,-0.034457,-0.012847,1,2.3017,20.809,7.2655,12.889
474.86,-0.0012701,-0.034954,-0.013129,1,2.3406,20.782,7.2411,12.875
474.86,-0.0011463,-0.035461,-0.013412,1,2.3796,20.756,7.2165,12.86
474.86,-0.0010249,-0.035976,-0.013702,1,2.4184,20.729,7.1919,12.846
474.86,-0.00090331,-0.036499,-0.014001,1,2.457,20.703,7.1673,12.831
474.86,-0.00078579,-0.03703,-0.014305,1,2.4957,20.677,7.1426,12.817
474.86,-0.00066853,-0.037571,-0.014616,1,2.5346,20.651,7.1176,12.803
474.86,-0.00055906,-0.038113,-0.014933,1,2.5729,20.625,7.0929,12.789
474.86,-0.00044885,-0.038675,-0.015268,1,2.612,20.599,7.0676,12.774
474.86,-0.00034995,-0.039231,-0.015598,1,2.6506,20.574,7.0425,12.76
474.86,-0.00025217,-0.039803,-0.015944,1,2.6896,20.548,7.0171,12.745
474.86,-0.00016405,-0.040379,-0.016301,1,2.7286,20.523,6.9917,12.73
474.86,-8.069e-05,-0.040962,-0.016665,1,2.7677,20.497,6.9661,12.715
474.87,-9.4223e-06,-0.041546,-0.017037,1,2.8068,20.471,6.9404,12.701
474.87,5.5722e-05,-0.042139,-0.017423,1,2.8459,20.446,6.9146,12.686
474.87,0.00010742,-0.042742,-0.01782,1,2.8854,20.421,6.8884,12.671
474.87,0.00014908,-0.043343,-0.018222,1,2.9249,20.395,6.8621,12.655
474.87,0.00017667,-0.043951,-0.018636,1,2.9644,20.37,6.8358,12.64
474.87,0.00019508,-0.044559,-0.019064,1,3.0037,20.346,6.8095,12.625
