"P","U","V","W","vtkValidPointMask"," s ","Points:0","Points:1","Points:2"
0,0,0,0,0,0,22.293,8.5342,14.064
0,0,0,0,0,0.042215,22.271,8.5153,14.033
0,0,0,0,0,0.084149,22.25,8.4963,14.003
0,0,0,0,0,0.12583,22.228,8.4772,13.973
0,0,0,0,0,0.16727,22.206,8.4581,13.943
0,0,0,0,0,0.20847,22.184,8.4388,13.914
0,0,0,0,0,0.24945,22.161,8.4195,13.886
0,0,0,0,0,0.29022,22.139,8.4,13.858
0,0,0,0,0,0.33077,22.116,8.3805,13.831
0,0,0,0,0,0.37114,22.093,8.3609,13.804
0,0,0,0,0,0.41134,22.07,8.3412,13.778
0,0,0,0,0,0.45136,22.047,8.3214,13.752
0,0,0,0,0,0.49121,22.023,8.3016,13.727
0,0,0,0,0,0.53092,22,8.2816,13.702
0,0,0,0,0,0.57049,21.976,8.2615,13.677
0,0,0,0,0,0.60992,21.952,8.2414,13.653
0,0,0,0,0,0.64922,21.928,8.2212,13.63
0,0,0,0,0,0.68841,21.904,8.2009,13.607
0,0,0,0,0,0.72749,21.879,8.1804,13.584
0,0,0,0,0,0.76647,21.855,8.1599,13.562
0,0,0,0,0,0.80536,21.83,8.1393,13.54
0,0,0,0,0,0.84416,21.805,8.1187,13.518
0,0,0,0,0,0.88288,21.78,8.0979,13.497
0,0,0,0,0,0.92152,21.755,8.077,13.476
0,0,0,0,0,0.9601,21.73,8.0561,13.456
0,0,0,0,0,0.99862,21.705,8.035,13.436
0,0,0,0,0,1.0371,21.679,8.0139,13.416
0,0,0,0,0,1.0755,21.654,7.9927,13.397
673.72,2.9402e-05,0.0023681,0.00010231,1,1.1139,21.628,7.9714,13.378
673.72,4.87e-05,0.0023733,0.00016537,1,1.1522,21.603,7.95,13.359
673.72,6.6449e-05,0.0023784,0.0002267,1,1.1905,21.577,7.9285,13.34
673.72,8.0974e-05,0.0023846,0.00028406,1,1.2288,21.551,7.9069,13.322
673.72,9.3964e-05,0.002391,0.00033968,1,1.267,21.525,7.8852,13.304
673.72,0.00010481,0.0023994,0.00039167,1,1.3052,21.499,7.8635,13.287
673.72,0.00011378,0.0024097,0.00044047,1,1.3434,21.473,7.8416,13.269
673.72,0.00012154,0.0024206,0.00048727,1,1.3816,21.447,7.8197,13.252
673.72,0.00012728,0.0024334,0.0005295,1,1.4198,21.421,7.7977,13.235
673.72,0.00013238,0.0024461,0.0005713,1,1.458,21.394,7.7755,13.219
673.72,0.00013556,0.0024609,0.00060783,1,1.4961,21.368,7.7533,13.202
673.72,0.0001382,0.0024757,0.00064411,1,1.5343,21.341,7.731,13.186
673.72,0.00013954,0.0024918,0.00067698,1,1.5725,21.315,7.7086,13.17
673.72,0.00014026,0.0025085,0.00070853,1,1.6106,21.288,7.6861,13.155
673.72,0.00014012,0.0025261,0.00073821,1,1.6488,21.262,7.6636,13.139
673.72,0.00013925,0.0025444,0.00076617,1,1.687,21.235,7.6409,13.124
673.72,0.00013796,0.0025634,0.00079308,1,1.7252,21.209,7.6181,13.108
673.72,0.00013595,0.0025834,0.00081796,1,1.7634,21.182,7.5953,13.093
673.72,0.00013368,0.0026037,0.00084299,1,1.8016,21.155,7.5723,13.078
673.72,0.00013084,0.0026252,0.00086553,1,1.8398,21.129,7.5493,13.064
673.72,0.00012788,0.0026471,0.00088862,1,1.8781,21.102,7.5262,13.049
673.72,0.00012446,0.0026698,0.00090981,1,1.9163,21.075,7.503,13.035
673.72,0.00012093,0.0026932,0.00093154,1,1.9546,21.049,7.4797,13.02
673.72,0.00011736,0.0027178,0.00095187,1,1.9935,21.022,7.4558,13.005
673.72,0.00011368,0.0027426,0.00097251,1,2.0318,20.995,7.4322,12.991
673.72,0.00010994,0.0027681,0.00099228,1,2.0702,20.969,7.4087,12.976
673.72,0.00010624,0.0027942,0.0010118,1,2.1087,20.942,7.3851,12.962
673.72,0.00010261,0.0028206,0.0010311,1,2.1468,20.915,7.3616,12.947
673.72,9.9009e-05,0.0028483,0.0010508,1,2.1857,20.889,7.3376,12.933
673.72,9.5595e-05,0.0028763,0.0010705,1,2.2243,20.862,7.3137,12.918
673.72,9.2415e-05,0.0029052,0.0010901,1,2.2631,20.835,7.2896,12.904
673.72,8.9387e-05,0.0029346,0.0011102,1,2.3017,20.809,7.2655,12.889
673.72,8.6674e-05,0.0029648,0.0011308,1,2.3406,20.782,7.2411,12.875
673.72,8.4277e-05,0.0029958,0.0011515,1,2.3796,20.756,7.2165,12.86
673.72,8.23e-05,0.0030272,0.0011725,1,2.4184,20.729,7.1919,12.846
673.72,8.0552e-05,0.0030591,0.0011943,1,2.457,20.703,7.1673,12.831
673.72,7.936e-05,0.0030916,0.0012163,1,2.4957,20.677,7.1426,12.817
673.72,7.8481e-05,0.003125,0.001239,1,2.5346,20.651,7.1176,12.803
673.72,7.8208e-05,0.0031582,0.001262,1,2.5729,20.625,7.0929,12.789
673.72,7.8252e-05,0.0031928,0.0012865,1,2.612,20.599,7.0676,12.774
673.72,7.9149e-05,0.0032273,0.0013104,1,2.6506,20.574,7.0425,12.76
673.72,8.0403e-05,0.0032629,0.0013358,1,2.6896,20.548,7.0171,12.745
673.72,8.2417e-05,0.0032987,0.0013618,1,2.7286,20.523,6.9917,12.73
673.72,8.4947e-05,0.0033353,0.0013885,1,2.7677,20.497,6.9661,12.715
673.72,8.8356e-05,0.0033721,0.0014157,1,2.8068,20.471,6.9404,12.701
673.72,9.2276e-05,0.0034095,0.0014441,1,2.8459,20.446,6.9146,12.686
673.72,9.7289e-05,0.0034477,0.0014734,1,2.8854,20.421,6.8884,12.671
673.72,0.00010302,0.0034863,0.0015032,1,2.9249,20.395,6.8621,12.655
673.72,0.00010976,0.0035253,0.0015338,1,2.9644,20.37,6.8358,12.64
673.72,0.00011703,0.0035644,0.0015656,1,3.0037,20.346,6.8095,12.625
673.72,0.0001256,0.003604,0.0015975,1,3.0432,20.321,6.783,12.609
