"P","U","V","W","vtkValidPointMask"," s ","Points:0","Points:1","Points:2"
0,0,0,0,0,0,22.293,8.5342,14.064
0,0,0,0,0,0.042215,22.271,8.5153,14.033
0,0,0,0,0,0.084149,22.25,8.4963,14.003
0,0,0,0,0,0.12583,22.228,8.4772,13.973
0,0,0,0,0,0.16727,22.206,8.4581,13.943
0,0,0,0,0,0.20847,22.184,8.4388,13.914
0,0,0,0,0,0.24945,22.161,8.4195,13.886
0,0,0,0,0,0.29022,22.139,8.4,13.858
0,0,0,0,0,0.33077,22.116,8.3805,13.831
0,0,0,0,0,0.37114,22.093,8.3609,13.804
0,0,0,0,0,0.41134,22.07,8.3412,13.778
0,0,0,0,0,0.45136,22.047,8.3214,13.752
0,0,0,0,0,0.49121,22.023,8.3016,13.727
0,0,0,0,0,0.53092,22,8.2816,13.702
0,0,0,0,0,0.57049,21.976,8.2615,13.677
0,0,0,0,0,0.60992,21.952,8.2414,13.653
0,0,0,0,0,0.64922,21.928,8.2212,13.63
0,0,0,0,0,0.68841,21.904,8.2009,13.607
0,0,0,0,0,0.72749,21.879,8.1804,13.584
0,0,0,0,0,0.76647,21.855,8.1599,13.562
0,0,0,0,0,0.80536,21.83,8.1393,13.54
0,0,0,0,0,0.84416,21.805,8.1187,13.518
0,0,0,0,0,0.88288,21.78,8.0979,13.497
0,0,0,0,0,0.92152,21.755,8.077,13.476
0,0,0,0,0,0.9601,21.73,8.0561,13.456
0,0,0,0,0,0.99862,21.705,8.035,13.436
0,0,0,0,0,1.0371,21.679,8.0139,13.416
0,0,0,0,0,1.0755,21.654,7.9927,13.397
661.78,0.00010081,0.0020561,8.9804e-05,1,1.1139,21.628,7.9714,13.378
661.78,0.00016765,0.0020639,0.00015059,1,1.1522,21.603,7.95,13.359
661.78,0.00023131,0.0020719,0.00020851,1,1.1905,21.577,7.9285,13.34
661.78,0.00028874,0.0020876,0.0002613,1,1.2288,21.551,7.9069,13.322
661.78,0.00034253,0.002105,0.00031108,1,1.267,21.525,7.8852,13.304
661.78,0.0003911,0.0021271,0.00035773,1,1.3052,21.499,7.8635,13.287
661.78,0.00043491,0.0021535,0.00040162,1,1.3434,21.473,7.8416,13.269
661.78,0.00047471,0.0021821,0.00044335,1,1.3816,21.447,7.8197,13.252
661.78,0.00050867,0.0022167,0.00048353,1,1.4198,21.421,7.7977,13.235
661.78,0.00053979,0.0022519,0.0005221,1,1.458,21.394,7.7755,13.219
661.78,0.00056427,0.0022941,0.00055991,1,1.4961,21.368,7.7533,13.202
661.78,0.00058604,0.0023371,0.00059679,1,1.5343,21.341,7.731,13.186
661.78,0.00060243,0.0023852,0.00063349,1,1.5725,21.315,7.7086,13.17
661.78,0.00061529,0.0024356,0.00066942,1,1.6106,21.288,7.6861,13.155
661.78,0.00062392,0.0024895,0.00070542,1,1.6488,21.262,7.6636,13.139
661.78,0.00062854,0.002547,0.00074181,1,1.687,21.235,7.6409,13.124
661.78,0.00062982,0.0026068,0.00077751,1,1.7252,21.209,7.6181,13.108
661.78,0.00062679,0.0026708,0.000814,1,1.7634,21.182,7.5953,13.093
661.78,0.00062131,0.0027366,0.00085093,1,1.8016,21.155,7.5723,13.078
661.78,0.00061137,0.0028068,0.00088802,1,1.8398,21.129,7.5493,13.064
661.78,0.00059942,0.0028784,0.00092555,1,1.8781,21.102,7.5262,13.049
661.78,0.00058354,0.0029543,0.00096407,1,1.9163,21.075,7.503,13.035
661.78,0.00056559,0.0030318,0.0010033,1,1.9546,21.049,7.4797,13.02
661.78,0.00054462,0.0031143,0.0010426,1,1.9935,21.022,7.4558,13.005
661.78,0.00052185,0.0031975,0.0010831,1,2.0318,20.995,7.4322,12.991
661.78,0.00049654,0.0032836,0.0011239,1,2.0702,20.969,7.4087,12.976
661.78,0.00046921,0.0033712,0.0011648,1,2.1087,20.942,7.3851,12.962
661.78,0.00044024,0.0034603,0.0012063,1,2.1468,20.915,7.3616,12.947
661.78,0.00040922,0.0035536,0.0012498,1,2.1857,20.889,7.3376,12.933
661.78,0.00037698,0.003648,0.0012938,1,2.2243,20.862,7.3137,12.918
661.78,0.00034339,0.0037446,0.0013384,1,2.2631,20.835,7.2896,12.904
661.78,0.00030897,0.0038428,0.0013847,1,2.3017,20.809,7.2655,12.889
661.78,0.0002737,0.003944,0.0014328,1,2.3406,20.782,7.2411,12.875
661.78,0.00023771,0.004046,0.0014811,1,2.3796,20.756,7.2165,12.86
661.78,0.00020171,0.0041497,0.001531,1,2.4184,20.729,7.1919,12.846
661.78,0.00016547,0.0042546,0.0015824,1,2.457,20.703,7.1673,12.831
661.78,0.00012946,0.0043604,0.0016348,1,2.4957,20.677,7.1426,12.817
661.78,9.3165e-05,0.0044674,0.0016883,1,2.5346,20.651,7.1176,12.803
661.78,5.8293e-05,0.0045742,0.001743,1,2.5729,20.625,7.0929,12.789
661.78,2.2911e-05,0.0046843,0.0018002,1,2.612,20.599,7.0676,12.774
661.78,-1.0553e-05,0.0047921,0.0018567,1,2.6506,20.574,7.0425,12.76
661.78,-4.3963e-05,0.0049023,0.0019155,1,2.6896,20.548,7.0171,12.745
661.78,-7.5601e-05,0.005013,0.0019759,1,2.7286,20.523,6.9917,12.73
661.78,-0.00010644,0.0051233,0.002037,1,2.7677,20.497,6.9661,12.715
661.78,-0.000135,0.0052331,0.0020992,1,2.8068,20.471,6.9404,12.701
661.78,-0.00016217,0.0053438,0.0021634,1,2.8459,20.446,6.9146,12.686
661.78,-0.00018701,0.0054555,0.0022291,1,2.8854,20.421,6.8884,12.671
661.78,-0.00020981,0.0055649,0.0022948,1,2.9249,20.395,6.8621,12.655
661.78,-0.0002298,0.005675,0.0023622,1,2.9644,20.37,6.8358,12.64
661.78,-0.00024748,0.005784,0.0024312,1,3.0037,20.346,6.8095,12.625
661.78,-0.00026223,0.005891,0.0024998,1,3.0432,20.321,6.783,12.609
661.78,-0.00027426,0.0059964,0.0025692,1,3.0828,20.296,6.7565,12.593
